id,title,处方来源,别名,药物组成,功效,主治,用法用量,备注,处方来源书名,标准药物名称,symptom
59,学究丸,《百一》卷八。,,片子姜黄1分，五灵脂1分，玄胡索1分，石菖蒲1分，全蝎3-7个（微炒），红娘子27个（去翅足），巴豆7个（去壳，不去油，别研旋和，要极匀）。,,丈夫心脾疼并小肠气痛，妇人脾血气痛。,每服2丸，丈夫小肠气疼，茴香盐汤送下；心脾痛，茶清内点醋送下；妇人血气痛，姜醋汤送下。,,百一,姜黄、五灵脂、新疆延胡索、水菖蒲、全蝎、红娘子、巴豆,疝气 脾血气痛
64,立应散,《百一》卷八，名见《医方类聚》卷九十二引《济生续方》。,,玄胡索不拘多少（新瓦上炒微黄，不可焦）。,,妇人血刺心痛。,每服3钱，酒1盏，煎至7分服。不能饮者，以陈米饮调下，不拘时候；以酒调亦得。,,医方类聚,新疆延胡索,血刺心痛
134,都梁丸,《百一》卷九引杨吉老方。,芷弹丸、都艮丸,香白芷大块（择白色新洁者，先以棕刷刷去尘土，用沸汤泡洗4-5遍）。,,诸风眩晕，妇人产前产后乍伤风邪，头目昏重，及血风头痛，暴寒乍暖，神思不清，伤寒头目昏晕。,每服1丸，食后常服，多用荆芥点腊茶细嚼下；只干嚼咽亦可。,芷弹丸（《直指》卷十一）、都艮丸（《摄生众妙方》卷七）,百一,白芷,眩晕 产后 风邪 头目眩晕 头痛 暴寒乍暖 神昏 伤寒 头目眩晕
154,回生散,《百一》卷六。,,陈皮（去白）、藿香叶（去土）各等分。,,霍乱吐泻，但存一点胃气；孕妇呕泻脉虚者。,每服5钱，水1盏半，煎至7分，温服，不拘时候。,,百一,陈皮、香叶,霍乱 吐泻 吐泻 脉弦虚
162,香附子散,《百一》卷六，名见《普济方》卷一九○。,,香附子（去毛）。,益血调气。,咯血，血崩，产后腹痛，乳痈初起坚痛者。,以米饮调下。,《济阴纲目》本方用法：清米饮调下，能止血；好酒调下，能破积；冷气，生姜汤调下；带下，艾汤入醋少许调下。,普济方,附子,咯血 血崩 产后 肚腹痛 乳痈
196,回阳汤,《百一》卷三。,,干姜（炮）1两，益智仁1两，大川乌（炮，去皮脐）1两，青皮半两，附子1只7-8钱重者（生用，去皮脐）。,,丈夫妇人无问老幼，卒暴风中气中，左瘫右痪，手足不遂，语言謇涩，口眼?斜，筋脉挛缩，半身不举，不省人事。,每服半两，水2大盏，加生姜10片，大枣1个，入盐少许，同煎7分，去滓，空心、食前温服，并滓再煎。,,百一,干姜、益智仁、慈乌、青皮、附子,卒暴 左瘫右痪 手足不遂 言语謇涩 四肢急掣 半身不遂 昏迷不省
199,三圣散,《百一》卷三。,舒筋散、神应散、如神汤、延胡散、延胡索散、舒筋汤、如神散、舒筋三圣散、元胡散,当归（洗，焙）、肉桂（去皮）、玄胡索（灰炒）各等分。,,中风瘫痪，腰痛，产后瘀血腹痛。中风手足拘挛，口眼?斜，左瘫右痪，骨节痠疼，脚弱无力，行步不正。男妇腰痛。产后恶血凝滞，脐下作痛，或作寒热。闪肭血滞，腹中痛，产后服之更妙。,每服2钱，温酒调下，空心，临卧日进3服。,舒筋散（原书同卷）、神应散（《普济方》卷一五四引《家藏经验方》）、如神汤（《妇人良方》卷四）、延胡散（《普济方》卷三五一）、延胡索散、《校注妇人良方》卷二十）、舒筋汤（《准绳·类方》卷四）、如神散（《治痘全书》卷十三）、舒筋三圣散（《张氏医通》卷十三）、元胡散（《仙拈集》卷二）。,百一,当归、肉桂、新疆延胡索,中风 诸风瘫痪 腰痛 产后腹中痛 四肢急掣 左瘫右痪 骨节痠疼 脚弱无力 行步不正 产后滞血 脐腹冷痛 寒热 闪肭 血滞 腹内痛
212,百花膏,《百一》卷十八。,,熟干地黄1两，生干地黄1两，川当归1两，川芎1两，白芍药1两，人参1两。,,妇人因失血后气弱，或产后虚羸。,每服1匙，用灯心、枣汤化下。,,百一,干地黄、干地黄、当归、川芎、白芍、人参,失色 气弱 产后 虚羸
213,艾煎丸,《百一》卷十八。,,伏道艾（揉去尘土，择净枝梗，取叶）5两（先用大肥淮枣12两，砂瓶内水煮烂，去核，同艾叶1处捣烂如泥，捻成薄饼子，猛火焙干，乘热急碾为末），大汉椒（去目、枝梗并合口者，取净）5两（以阿胶2两，米醋3升，同椒于砂瓶内煮极干，取出焙燥，碾为细末），当归（去芦及须，酒洗）1两，白芍药（真白者）1两，熟干地黄（净洗，漉去浮者，晒干，酒浸蒸晒，再入酒浸蒸5-7次，如糖，煎香美方可用）1两，川芎1两，白薇1两，附子（大者，炮，去皮脐）1两，卷柏（取青叶）1两，泽兰（去枝梗，取叶，上8味各焙干）1两。,,妇人一切虚寒，胎前产后赤白带下，或成血瘕。,每服50-70丸至100丸、200丸、空心、食前艾醋汤送下。,,百一,牡蒿、花椒、当归、白芍、干地黄、川芎、白薇、附子、卷柏、泽兰,虚寒 产后 赤白带下 血瘕
214,正经汤,《百一》卷十八。,,熟干地黄半两，人参2钱半，桂心2钱半，半夏（汤洗7次）2钱半，白芍药2钱半，牡丹皮2钱半，阿胶2钱半，麦门冬2钱半，当归2钱半，吴茱萸（汤洗7次）2钱。,,妇人诸虚不足，心腹痛者。,每服3钱，水1中盏，加生姜5片，煎至7分。,,百一,干地黄、人参、肉桂、半夏、白芍、牡丹皮、阿胶、麦冬、当归、吴茱萸,脏腑虚损 心腹多痛
