序号,方名,规范名,经典,出处,主治,功用,功用大类,功用小类,处方,炮制,方解,禁忌,化裁,附方,文献,用法用量,名家论述,备注
10000002,桂枝汤,桂枝汤,经典,《伤寒论》（汉?张仲景）,外感风寒。头痛发热，汗出恶风，鼻鸣干呕，苔白不渴，脉浮缓或浮弱者。本方不单可用于外感风寒的表虚证，对病后、产后、体弱而致营卫不和。证见时发热自汗出，兼有微恶风寒等，都可酌情使用。（本方常用于感冒、流行性感冒、原因不明的低热、产后及病后的低热、妊娠呕吐、多形红斑、冻疮、荨（qian）麻疹等属营卫不和者。）,解肌发表，调和营卫。,解表方,辛温解表,桂枝（9克） 芍药（9克） 生姜（9克） 大枣（3枚） 甘草（6克）,水煎服。本方服法也极为讲究，首先是药煎成取汁，“适寒温”服，“服已须臾，啜热稀粥”，借水谷之精气，充养中焦，不但易为酿汗，更可使外邪速去而不致复感。同时“稳覆令一时许，”即是避风助汗之意。待其“遍身zhezhe，微似有汗者，”是肺胃之气已合，津液得通，营卫和谐，腠理复固，所以说“益佳”。至于服后汗出病瘥，停后服；不效，再服，“乃服至二、三剂”；以及禁食生冷粘腻，酒肉臭恶等，尤其是“不可令如水流漓，病必不除，”是服解表剂后应该注意的通则。,风寒伤人肌表，原应恶寒发热而无汗，今汗自出而发热，恶风不解，且有鼻鸣、干呕，是腠理不固，卫气外泄，营阴不得内守，肺胃失和之故，所以是表虚证。究其病机，是风寒外感，卫强营弱，即《伤寒论》第五十三条所说：“以卫气不共营气谐和故尔。”风寒在表，当用辛温发散以解表，但本方证属表虚，腠理不固，且卫强营弱，所以既用桂枝为君药，解肌发表，散外感风寒，又用芍药为臣，益阴敛营。桂、芍相合，一治卫强，一治营弱，合则调和营卫，是相须为用。生姜辛温，既助桂枝解肌，又能暖胃止呕。大枣甘平，既能益气补中，又能滋脾生津。姜、枣相合，还可以升腾脾胃生发之气而调和营卫，所以并为佐药。炙甘草之用有二：一为佐药，益气和中，合桂枝以解肌，合芍药以益阴；一为使药，调和诸药。所以本方虽只有五味药，但配伍严谨，散中有补，正如柯琴在《伤寒论附翼》中赞桂枝汤“为仲景群方之魁，乃滋阴和阳，调和营卫，解肌发汗之总方也。”,表实无汗，或表寒里热，不汗出而烦躁，以及温病初起，见发热口渴，咽痛脉数时，皆不宜使用。（凡外感风寒表实无汗者禁用。服药期间禁食生冷、粘腻、酒肉、臭恶等物。）,恶风寒较甚者，宜加防风、荆芥、淡豆鼓疏散风寒；体质素虚者，可加黄芪益气，以扶正祛邪；兼见咳喘者，宜加杏仁、苏子、桔梗宣肺止咳平喘。,桂枝加葛根汤、桂枝加厚朴杏子汤、桂枝加桂汤、桂枝加芍药汤,方论  吴谦：“凡风寒在表，脉浮弱自汗出者，皆属表虚，宜桂枝汤主之。名曰桂枝汤者，君以桂枝也。桂枝辛温，辛能散邪，温从阳而扶卫。芍药酸寒，酸能敛汗，寒走阴而益营。桂枝君芍药，是于发散中寓敛汗之意；芍药臣桂枝，是于固表中有微汗之道焉。生姜之辛，佐桂枝以解肌表；大枣之甘，佐芍药以和营里。甘草甘平，有安内攘外之能，用以调和中气，即以调和表里，且以调和诸药矣。以桂、芍之相须，姜、枣之相得，借甘草之调和阳表阴里，气卫血营，并行而不悖，是刚柔相济以为和也。而精义在服后须臾啜热稀粥以助药力。盖谷气内充，不但易为酿汗，更使已入之邪不得少留，将束之邪不得复入也。又妙在温覆令一时许，zhezhe微似有汗，是授人以微汗之法。不可令如水流漓，病必不除，示人以不可过汗之意也。此方为仲景群方之冠，乃解肌发汗，调和营卫之第一方也。凡中风、伤寒、脉浮弱、汗自出而表不解者，皆得而主之。其他但见一、二证即是，不必悉具。”《医宗金鉴·删补名医方论》《伤寒论·辨太阳病脉证并治》：“太阳中风，阳浮而阴弱。阳浮者，热自发；阴弱者，汗自出。啬啬（se）恶寒，淅淅（xi）恶风，翕翕（xi）发热，鼻鸣干呕者，桂枝汤主之。”“太阳病，头痛发热，汗出恶风者，桂枝汤主之。”,nan,nan,nan
10000007,正柴胡饮,正柴胡饮,经典,《景岳全书》（明?张景岳）,外感风寒轻证。微恶风寒，发热，无汗，头痛身痛，舌苔薄白，脉浮。（本方常用于感冒、流行性感冒、疟疾初起以及妇女经期、妊娠、产后感冒等属外感风寒而气血不虚者。）,解表散寒。,解表方,辛温解表,柴胡（9克） 防风（3克） 陈皮（4.5克） 芍药（6克） 甘草（3克） 生姜（三五片）,水一盅半，煎七八分，热服（现代用法：水煎温服）。,本方证属外感风寒表证之轻者。风寒束表，毛窍闭塞，卫阳被遏，因感邪较轻，故症见微恶风寒、发热、无汗、头身痛；苔薄白，脉浮为风寒表证之征象。外感风寒，宜解表散寒；表寒轻证，只需轻疏肌表，微发其汗，病邪自可外达，不必用辛温重剂，徒伤其表。方中君以柴胡辛散表邪。臣用防风祛风寒，止疼痛。生姜辛温发散，助柴胡、防风解表透邪；陈皮疏畅气机，以助祛邪外出；芍药益阴和营，防辛散太过而伤阴，共为佐药。甘草调和诸药为使。本方药性平和，对于气血不虚而外感风寒较轻者颇宜。,斟酌。,头痛甚者，加川芎以祛风止痛；热而烦渴者，加葛根以透热生津；呕恶者，加半夏以和胃降逆；湿盛者，加苍术以化湿运脾；寒盛而邪不易解者，加麻黄或苏叶发散风寒。,无,《景岳全书》卷51：“凡外感风寒，发热恶寒，头痛身痛，痎（jie）疟初起等证，凡血气平和，宜从平散者，此方主之。”,nan,nan,nan
10000050,加减葳蕤汤,加减葳蕤汤,经典,《重订通俗伤寒论》,素体阴虚，外感风热证。头痛身热，微恶风寒，无汗或有汗不多，咳嗽，心烦，口渴，咽干，舌红，脉数。（本方常用于老年人及产后感冒、急性扁桃体炎、咽炎等属阴虚外感者。）,滋阴解表。,解表方,扶正解表,生葳蕤（9克） 生葱白（6克） 桔梗（4.5克） 东白薇（3克） 淡豆豉（12克） 薄荷（4.5克） 炙甘草（1.5克） 红枣二枚,水煎，分温再服。,本方主治阴虚之体外感风热者。外感风热，故见头痛身热、微恶风寒、无汗或有汗不畅、咳嗽、口渴等症；阴虚之体，感受外邪，易于化热，且阴虚者亦多生内热，故除上述邪袭肺卫的见症外，尚有咽干、心烦、舌赤、脉数之症。治当辛凉解表，滋阴清热。方中葳蕤（即玉竹）味甘性寒，人肺胃经，为滋阴润燥主药，用以润肺养胃、清热生津，因其滋而不腻，对阴虚而有表热证者颇宜；薄荷辛凉，归肝、肺经，“为温病宜汗解者之要药”（《医学衷中参西录》上册），用以疏散风热、清利咽喉，共为君药。葱白、淡豆豉解表散邪，助薄荷以逐表邪，为臣药。白薇味苦性寒，善于清热而不伤阴，于阴虚有热者甚宜；桔梗宣肺止咳；大枣甘润养血，均为佐药。使以甘草调和药性。诸药配伍，汗不伤阴，滋不碍邪，为滋阴解表之良剂。,斟酌。,若表证较重，酌加防风、葛根以祛风解表；咳嗽咽干、咯痰不爽者，加牛蒡子、瓜蒌皮以利咽化痰；心烦口渴较甚，加竹叶、花粉以清热生津除烦。,葱自七味饮（《外台秘要》）,方论  何秀山《重订通俗伤寒论》：“方以生玉竹滋阴润燥为君，臣以葱、豉、薄、桔疏风散热，佐以白薇苦咸降泄，使以甘草、红枣甘润增液，以助玉竹之滋阴润燥，为阴虚之体感冒风温，以及冬温咳嗽、咽干、痰结之良剂。”《重订通俗伤寒论·第二章·六经方药》：“阴虚之体，感冒风温，及冬温咳嗽，咽干痰结者。”,nan,nan,nan
10000082,麻子仁丸（又名：脾约麻仁丸、脾约丸）,麻子仁丸,经典,《伤寒论》（汉?张仲景）,肠胃燥热，津液不足。大便干结，小便频数。（本方常用于虚人及老人肠燥便秘、习惯性便秘、产后便秘、痔疮术后便秘等属胃肠燥热者。）,润肠泄热，行气通便。,泻下方,润下,麻子仁（500克） 芍药（250克） 枳实（250克） 大黄（500克） 厚朴（250克） 杏仁（250克） [以上为丸剂用量],上六味，蜜和丸，如梧桐子大，饮服十丸，日三服，渐加，以知为度（现代用法：上药为末，炼蜜为丸，每次9克，1～2次，温开水送服。亦可按原方用量比例酌减，改汤剂煎服）。,本方治证乃由胃有燥热，脾津不足所致。脾主为胃行其津液，今胃中燥热，脾受约束，津液不得四布，但输膀胱，而致小便频数，肠失濡润，故见大便干结。此时治法亦应以润肠通便为主，兼以泄热行气。因而方中用火麻仁润肠通便为君药；大黄通便泄热，杏仁降气润肠，白芍养阴和里，共为臣药；枳实、厚朴下气破结，加强降泄通便之力，蜂蜜能润燥滑肠，共为佐使药。诸药合而为丸，具有润肠泄热，行气通便之功。    本方即小承气汤加火麻仁、杏仁、白芍、蜂蜜组成，虽亦用小承气汤泻肠胃之燥热积滞，但实际服用量较小。更取质润多脂之火麻仁、杏仁、白芍、蜜蜂，则益阴增液以润肠通便，使腑气通，津液行；二则甘润可减缓小承气汤攻伐之力，使下而不伤正，而且原方只服十丸，以次渐加，都说明本方意在润肠通便，仍属缓下之剂。对于肠中燥有积滞的便秘最为适合。老人与产后肠燥便秘，以及习惯性便秘亦可服用。★方义2：本方治证乃因胃有燥热，脾津不足所致。《伤寒论》称之为“脾约”。成无己说：“约者，约结之约，又约束也。经曰：脾主为胃行其津液者也，今胃强脾弱，约束津液不得四布，但输膀胱，致小便数而大便硬，故曰其脾为约。”（《伤寒明理论》）根据“燥者润之”、“留者攻之”的原则，故当润肠泻实，宜润肠药与泻下药同用。方中麻子仁性味甘平，质润多脂，功能润肠通便，是为君药。杏仁上肃肺气，下润大肠；白芍养血敛阴，缓急止痛为臣。大黄、枳实、厚朴即小承气汤，以轻下热结，除胃肠燥热为佐。蜂蜜甘缓，既助麻子仁润肠通便，又可缓和小承气汤攻下之力，以为佐使。综观本方，虽用小承气以泻下泄热通便，而大黄、厚朴用量仅从轻减，更取质润多脂之麻仁、杏仁、芍药、白蜜等，一则益阴增液以润肠通便，使腑气通，津液行，二则甘润减缓小承气攻下之力。本方具有下不伤正、润而不腻、攻润相合的特点，以达润肠、通便、缓下之功，使燥热去，阴液复，而大便自调。    本方为丸剂，而且只服10小丸，依次渐加，均意在缓下，润肠通便。”,本方虽为润肠缓下之剂，但含有攻下破滞之品，故年老体虚，津亏血少者，不宜常服，孕妇慎用。（如属纯由血少津亏引起的便秘，则不宜使用。孕妇忌用。）,痔疮便秘者，可加桃仁、当归以养血和血，润肠通便；痔疮出血属胃肠燥热者，可酌加槐花、地榆以凉血止血；燥热伤津较甚者，可加生地、玄参、石斛以增液通便。,润肠丸 五仁丸,方论  成无己：“约者结约之约，又约束之约也、《内经》曰：饮入于胃，游溢精气，上输于脾，脾气散精，上归于肺，通调水道，下输膀胱，水精四布，五经并行。是脾主为胃行其津液者也。今胃强脾弱，约束津液，不得四布，但输膀胱，致小便数而大便硬，故曰其脾为约。麻仁味甘平，杏仁味甘温。《内经》曰：脾欲缓，急食甘以缓之。麻仁、杏仁，润物也，本草曰：润可去枯，脾胃干燥，必以甘润之物为之主，是以麻仁为君，杏仁为臣。积实味苦寒，厚朴味苦温。润燥者必以甘；甘以润之；破结者必以苦，若以泄之。积实、厚朴为佐，以散脾之结约。芍药味酸微寒，大黄味苦寒，酸苦痛泄为阴，芍药、大黄为使，以下脾之结燥。肠润结化，津液还人胃中，则大便利，小便少而愈矣”。《伤寒明理论》方论选录 王子接《绛雪园古方选注》卷上：“下法不曰承气，而曰麻仁者，明指脾约为脾土过燥，胃液日亡，故以麻、杏润脾燥，白芍安脾阴，而后以枳朴大黄承气法胜之，则下不亡阴。法中用丸渐加者，脾燥宜用缓法，以遂脾欲，非比胃实当急下也。”《伤寒论·辨阳明病脉证并治》：“趺阳脉浮而涩，浮则胃气强，涩由小便数，浮涩相搏，大便则硬，其脾为约，麻子仁丸主之。”,茅氏用麻子仁丸加味治疗高脂血症，效果良好。临床治疗50例，并设西药对照组30例。治疗组用麻子仁、制首乌、决明子、生黄芪、绞股兰各30克，生白芍、枳实、厚朴、杏仁、泽泻各10克，参三七、大黄各5克，每日1剂，水煎分2次服。对照组口服烟酸肌醇酯片，每次 0.4克，每日 3次。结果：治疗组显效 28例，有效 16例，无效 6例，总有效率 88％；对照组显效12例，有效7例，无效11例 总有效率63.3％。两组总有效率有非常显著性差异（P＜0.01）。[茅国荣．麻仁丸加味治疗高脂血症50例。实用中医药杂志 200,nan,nan
10000083,济川煎,济川煎,经典,《景岳全书》（明?张景岳）,老年肾虚。肾阳虚弱，精津不足证。大便秘结，小便清长，腰膝酸软，头目眩晕，舌淡苔白，脉沉迟。（本方常用于习惯性便秘、老年便秘、产后便秘等属于肾虚精亏肠燥者。）,温肾益精、润肠通便。,泻下方,润下,当归（9～15克） 牛膝（6克） 肉苁蓉（6～9克） 泽泻（4.5克） 升麻（1.5～3克） 枳壳（3克）,水一盅半，煎七分，食前服。（现代用法：作汤剂，水煎服）,肾主五液，开窍于二阴而司二便，肾阳虚弱，则下元不温，气化无力，五液失所主，摄纳失司，开合失常，故小便清长而见大便秘结。腰为肾之府，肾虚则腰膝酸软。治宜温肾养精，润肠通便。方中用肉苁蓉温肾益精，暖腰润肠，是为君药。当归养血和血，润肠通便；牛膝补肾强腰，性善下行，共为臣药。枳壳下气宽肠而助通便，泽泻渗利小便而泄肾浊，共为佐药。尤妙在稍加升麻以升清阳，清阳升则浊阴自降，配合诸药，以加强通便之效，为使药。    原书认为：“凡病涉虚损而大便秘结不通，则硝、黄攻击等剂必不可用。若势有不得不通者，宜此主之，此用通于补之剂也”。方后又有加减法云：“如气虚者，但加人参无碍；如有火加黄芩；若肾虚加熟地”，“虚甚者，枳壳不必用”。皆可供临证应用时参考。总之，本方在温补之中，寓有通便之功，故名济川煎。济，相助也，益也；川，一作水之所聚，此处指肾，一指尾窍，此处指后阴。顾名思义，便可知本方旨在温肾益精，以润肠通便，故对年老肾虚而大便秘结者，颇为适用。方义2：本方证因肾虚开合失司所致。肾主五液，司开合。肾阳不足，气化无力，津液不布，故小便清长；肠失濡润，传导不利，故大便不通；肾虚精亏，故腰膝酸软；清窍失养，则头目眩晕；肾阳亏损，故舌淡苔白、脉象沉迟。肾虚开合失司，浊气不降，肠道失润，治当温肾益精、润肠通便。方中肉苁蓉味甘咸性温，功能温肾益精，暖腰润肠，为君药。当归补血润燥，润肠通便；牛膝补益肝肾，壮腰膝，性善下行，共为臣药。枳壳下气宽肠而助通便；泽泻渗利小便而泄肾浊；妙用升麻以升清阳，清阳升则浊阴自降，相反相成，以助通便之效，以上共为佐药。诸药合用，既可温肾益精治其本，又能润肠通便以治标。用药灵巧，补中有泻，降中有升，具有“寓通于补之中、寄降于升之内”的配伍特点。,凡热邪伤津及阴虚者忌用。虚甚者不必用枳壳。,《景岳全书》方后加减法提出：“如气虚者，但加人参无碍；如有火加黄芩；若肾虚加熟地”；“虚甚者，枳壳不必用”，皆可供临床参考。,无。,方论选录 何秀山《重订通俗伤寒论》：“夫济川煎，注重肝肾，以肾主二便，故君以苁蓉、牛膝滋肾阴以通便也。肝主疏泄，故臣以当归、枳壳，一则辛润肝阴，一则苦泄肝气。妙在升麻升清气以输脾，泽泻降浊气以输膀胱，佐蓉、膝以成润利之功。”《景岳全书》卷51：“便秘有不得不通者，凡伤寒杂证等病，但属阳明实热可攻之类，皆宜以热结治法通而去之，若察其元气已虚，既不可泻而下焦胀闭，又通不宜缓者，但用济川煎主之，则无有不达。”,nan,nan,nan
10000086,五仁丸,五仁丸,经典,《世医得效方》,津枯肠燥证。大便艰难，以及年老和产后血虚便秘，舌燥少津，脉细涩。,润肠通便。,泻下方,润下,桃仁(30克） 杏仁(麸炒，去皮尖，30克） 松子仁（5克） 柏子仁（15克） 郁李仁（3克） 陈皮（另研末，120克）,将五仁别研为膏，入陈皮末同研匀，炼蜜为丸，如梧桐子大，每服五十丸（9克），食前米饮下（现代用法：五仁研为膏，陈皮为末，炼蜜为丸，每服9克，每日1－2次温开水送下）。,五仁丸和麻子仁丸均为润肠通便之剂。但五仁丸集富含油脂的果仁于一方，配伍理气行滞的陈皮，润下与行气相合，以润燥滑肠为用，善治津亏肠燥便秘；麻子仁丸以麻子仁、杏仁、蜂蜜、白芍益阴润肠为主，兼配小承气汤泻热通便，补中有泻，攻润相合，善于治疗肠胃燥热，脾津不足之脾约便秘。,斟酌。,nan,nan,nan,nan,nan,nan
10000211,当归建中汤,当归建中汤,经典,《千金翼方》（唐?孙思邈）,产后虚羸（lei）不足，腹中隐痛不已，吸吸少气，或小腹拘急挛痛引腰背，不能饮食者。,温补气血，缓急止痛。,温里方,温中祛寒,当归四两，桂心三两，甘草（炙）二两，芍药六两，生姜三两，大枣十二枚（擘），饴糖六两，地黄六两，阿胶二两。,上六味，以水一斗，煮取三升，分为三服，一日令尽。若大虚，加饴糖六两（30克）作汤成，内之于火上暖，令饴糖消。,当归建中汤乃偏重于和血止痛。,斟酌。,暂无。,无。,无。,nan,nan,nan
10000220,当归生姜羊肉汤,当归生姜羊肉汤,经典,《金匮要略》（汉?张仲景）,产后血虚，腹中冷痛，寒疝腹中痛，以及虚劳不足等,补气养血，温中暖肾,温里方,温中祛寒,当归  生姜  羊肉,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000243,补中益气汤,补中益气汤,经典,《内外伤辨惑论》,１．脾虚气陷证。饮食减少，体倦肢软，少气懒言，面色萎黄，大便稀溏，舌淡脉虚；以及脱肛，子宫脱垂，久泻久痢，崩漏等。２．气虚发热证。身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力。（本方常用于内脏下垂、久泻、久痢、脱肛、重症肌无力、乳糜尿、慢性肝炎等；妇科之子宫脱垂、妊娠及产后癃闭、胎动不安、月经过多；眼科之眼睑下垂、麻痹性斜视等属脾胃气虚或中气下陷者。）,补中益气，升阳举陷。,补益方,补气,黄芪（18克） 炙甘草（9克） 人参（6克） 当归（3克） 橘皮（6克） 升麻（6克） 柴胡（6克） 白术（9克）,为粗末，都作一服，水二盏，煎至一盏，去滓，食远稍热服（现代用法：水煎服。或作丸剂，每服10克-15克，日2-3次，温开水或姜汤下）。,本方治证系因饮食劳倦，损伤脾胃，以致脾胃气虚、清阳下陷所致。脾胃为营卫气血生化之源，脾胃气虚，纳运乏力，故饮食减少、少气懒言、大便稀薄；脾主升清，脾虚则清阳不升，中气下陷，故见脱肛、子宫下垂等；清阳陷于下焦，郁遏不达则发热，因非实火，故其热不甚，病程较长。时发时止、手心热甚于手背，与外感发热之热甚不休、手背热甚于手心者不同。气虚腠理不固，阴液外泄则自汗。治宜补益脾胃中气，升阳举陷。方中重用黄芪，味甘微温，入牌、肺经，补中益气，升阳固表，为君药。配伍人参、炙甘草、白术补气健脾为臣，与黄芪合用，以增强其补益中气之功。血为气之母，气虚时久，营血亦亏，故用当归养血和营，协人参、黄芪以补气养血；陈皮理气和胃，使诸药补而不滞，共为佐药。并以少量升麻、柴胡升阳举陷，协助君药以升提下陷之中气，《本草纲目》谓：“升麻引阳明清气上升，柴胡引少阳清气上行，此乃禀赋虚弱，元气虚馁，及劳役饥饱，生冷内伤，脾胃引经最要药也”，共为佐使。炙甘草调和诸药，亦为使药。诸药合用，使气虚得补，气陷得升则诸症自愈。气虚发热者，亦借甘温益气而除之。    关于用本方治疗气虚发热的理论依据，李东垣说：“是热也，非表伤寒邪皮毛间发热也，乃肾间脾胃下流之湿气闷塞其下，致阴火上冲，作蒸蒸燥热。”又说：“既脾胃虚衰，元气不足，而心火独盛。心火者，阴火也，起于下焦，其系系于心，心不主令，相火代之；相火，下焦包络之火，元气之贼也。火与元气不两立，一胜则一负。”（《内外伤辨惑论》卷中）可见这种发热在李东垣看来，就是“阴火”。其实质主要是脾胃元气虚馁，升降失常，清阳下陷，脾湿下流，下焦阳气郁而生热上冲，加之化源不足，“中焦取汁”不足以化赤生血，则心血不足以养心而致心火独亢而出现的热象。治疗这种发热，“惟当以甘温之剂，补其中，升其阳，甘寒以泻其火则愈。”“盖温能除大热，大忌苦寒之药泻胃土耳！今立补中益气汤。”（《内外伤辨惑论》）综上李氏创立“温能除大热”的理论，对区别外感与内伤发热的辨证、病机、治则、治法以及使用的宜忌等均有阐发，对深入理解本方意义和指导临床运用均有稗益。,阴虚发热及内热炽盛者忌用。,若兼腹中痛者，加白芍以柔肝止痛；头痛者，加蔓荆子、川芎；头顶痛者，加藁本、细辛以疏风止痛；咳嗽者，加五味子、麦冬以敛肺止咳；兼气滞者，加木香、枳壳以理气解郁。本方亦可用于虚人感冒，加苏叶少许以增辛散之力。,升阳益胃汤《《内外伤辨惑论》）、升陷汤（《医学衷中参西录》）、举元煎（《景岳全书》）,方论  罗美《古今名医方论》卷1：“凡脾胃一虚，肺气先绝，故用黄芪护皮毛而闭胰理，不令自汗；元气不足，懒言气喘，人参以补之；炙甘草之甘以泻心火而除烦，补脾胃而生气。此三味，除烦热之圣药也。佐白术以健脾；当归以和血；气乱于胸，清浊相干，用陈皮以理之，且以散诸甘药之滞；胃中清气下沉，用升麻、柴胡气之轻而味之薄者，引胃气以上腾，复其本位，便能升浮以行生长之令矣。补中之剂，得发表之品而中自安；益气之剂，赖清气之品而气益倍，此用药有相须之妙也。”《内外伤辨惑论》卷中：“气高而喘，身热而烦，其脉洪大而头痛，或渴不止，其皮肤不任风寒而生寒热。”,nan,nan,nan
10000279,四物汤,四物汤,经典,《太平惠民和剂局方》（宋?太平惠民和剂局）,冲任虚损。月水不调，脐腹疼痛，崩中漏下。血瘕块硬，时发疼痛。妊娠胎动不安，血下不止，及产后恶露不下，结生瘕聚，少腹坚痛，时作寒热。,补血调血。,补益方,补血,当归（10克） 川芎（8克） 白芍（12克） 熟地（12克）,现代服法：作汤剂，水煎服。一剂煎三次，早、午、晚空腹时服。,本方是补血调经的主方，它是从《金匮要略·妇人妊娠篇》中的芎归胶艾汤去阿胶、艾叶、甘草而成。对诸种血虚证，均以本方为基础随证化裁。冲为血海，任主胞胎。若冲脉虚损，则女子月经量少，色淡，经期推迟。再加下焦寒滞，则小腹作痛。若脾虚而不摄血，肾虚冲任不固，则崩中漏下等证也可相继发生。又或肝寒血滞，血行不畅而瘀停，可兼见癥块硬结，少腹脐周作痛。本方一当归补血、活血，熟地补血为主，川芎入血分理血中之气，芍药敛阴养血。故全方尽属血分药。但组合得体，补血而不滞血，行血而不破血，补中有散，散中有收，构成治血要剂。,斟酌。,若血寒，经期腰腹疼痛，克酌加炮姜、桂枝、吴萸、枳壳、香附、桑寄生、续断温寒、理气，行血、止痛。如妊娠胎漏，可加阿胶、酒炒艾叶、炙甘草变为“芎归阿胶汤”。若血瘀不行，可加丹参、桃仁、红花而逐瘀行血。若血虚而有郁热，可加黄芩、丹皮。若气虚而不摄血，可加潞党参、黄芪、白术。总之，本方随证加减，可统治诸种血证。,圣愈汤、桃红四物汤,方论  张秉成：“夫人之所赖以生者，血与气耳。故一切补气诸方，皆从四君化出，一切补血之方，又当从此四物而化也。补气者，当求脾肺；补血者，当求之肝肾。地黄入肾，壮水补阴，白芍入肝，敛阴益血。二味为补血之正药。然血虚多滞，经脉隧道，不能滑利通畅，又恐地、芍纯阴之性，无温养流动之机，故必加以当归、川芎辛香温润，能养血而行血中之气以流动之。总之，此方乃调理一切血证是起所长，若纯属阴虚血少，宜静不宜动者，则归、芎之走串行散，又非所宜也。”《成方便读》,nan,nan,nan
