序号,方名,规范名,经典,出处,主治,功用,功用大类,功用小类,处方,炮制,方解,禁忌,化裁,附方,文献,用法用量,名家论述,备注
10000002,桂枝汤,桂枝汤,经典,《伤寒论》（汉?张仲景）,外感风寒。头痛发热，汗出恶风，鼻鸣干呕，苔白不渴，脉浮缓或浮弱者。本方不单可用于外感风寒的表虚证，对病后、产后、体弱而致营卫不和。证见时发热自汗出，兼有微恶风寒等，都可酌情使用。（本方常用于感冒、流行性感冒、原因不明的低热、产后及病后的低热、妊娠呕吐、多形红斑、冻疮、荨（qian）麻疹等属营卫不和者。）,解肌发表，调和营卫。,解表方,辛温解表,桂枝（9克） 芍药（9克） 生姜（9克） 大枣（3枚） 甘草（6克）,水煎服。本方服法也极为讲究，首先是药煎成取汁，“适寒温”服，“服已须臾，啜热稀粥”，借水谷之精气，充养中焦，不但易为酿汗，更可使外邪速去而不致复感。同时“稳覆令一时许，”即是避风助汗之意。待其“遍身zhezhe，微似有汗者，”是肺胃之气已合，津液得通，营卫和谐，腠理复固，所以说“益佳”。至于服后汗出病瘥，停后服；不效，再服，“乃服至二、三剂”；以及禁食生冷粘腻，酒肉臭恶等，尤其是“不可令如水流漓，病必不除，”是服解表剂后应该注意的通则。,风寒伤人肌表，原应恶寒发热而无汗，今汗自出而发热，恶风不解，且有鼻鸣、干呕，是腠理不固，卫气外泄，营阴不得内守，肺胃失和之故，所以是表虚证。究其病机，是风寒外感，卫强营弱，即《伤寒论》第五十三条所说：“以卫气不共营气谐和故尔。”风寒在表，当用辛温发散以解表，但本方证属表虚，腠理不固，且卫强营弱，所以既用桂枝为君药，解肌发表，散外感风寒，又用芍药为臣，益阴敛营。桂、芍相合，一治卫强，一治营弱，合则调和营卫，是相须为用。生姜辛温，既助桂枝解肌，又能暖胃止呕。大枣甘平，既能益气补中，又能滋脾生津。姜、枣相合，还可以升腾脾胃生发之气而调和营卫，所以并为佐药。炙甘草之用有二：一为佐药，益气和中，合桂枝以解肌，合芍药以益阴；一为使药，调和诸药。所以本方虽只有五味药，但配伍严谨，散中有补，正如柯琴在《伤寒论附翼》中赞桂枝汤“为仲景群方之魁，乃滋阴和阳，调和营卫，解肌发汗之总方也。”,表实无汗，或表寒里热，不汗出而烦躁，以及温病初起，见发热口渴，咽痛脉数时，皆不宜使用。（凡外感风寒表实无汗者禁用。服药期间禁食生冷、粘腻、酒肉、臭恶等物。）,恶风寒较甚者，宜加防风、荆芥、淡豆鼓疏散风寒；体质素虚者，可加黄芪益气，以扶正祛邪；兼见咳喘者，宜加杏仁、苏子、桔梗宣肺止咳平喘。,桂枝加葛根汤、桂枝加厚朴杏子汤、桂枝加桂汤、桂枝加芍药汤,方论  吴谦：“凡风寒在表，脉浮弱自汗出者，皆属表虚，宜桂枝汤主之。名曰桂枝汤者，君以桂枝也。桂枝辛温，辛能散邪，温从阳而扶卫。芍药酸寒，酸能敛汗，寒走阴而益营。桂枝君芍药，是于发散中寓敛汗之意；芍药臣桂枝，是于固表中有微汗之道焉。生姜之辛，佐桂枝以解肌表；大枣之甘，佐芍药以和营里。甘草甘平，有安内攘外之能，用以调和中气，即以调和表里，且以调和诸药矣。以桂、芍之相须，姜、枣之相得，借甘草之调和阳表阴里，气卫血营，并行而不悖，是刚柔相济以为和也。而精义在服后须臾啜热稀粥以助药力。盖谷气内充，不但易为酿汗，更使已入之邪不得少留，将束之邪不得复入也。又妙在温覆令一时许，zhezhe微似有汗，是授人以微汗之法。不可令如水流漓，病必不除，示人以不可过汗之意也。此方为仲景群方之冠，乃解肌发汗，调和营卫之第一方也。凡中风、伤寒、脉浮弱、汗自出而表不解者，皆得而主之。其他但见一、二证即是，不必悉具。”《医宗金鉴·删补名医方论》《伤寒论·辨太阳病脉证并治》：“太阳中风，阳浮而阴弱。阳浮者，热自发；阴弱者，汗自出。啬啬（se）恶寒，淅淅（xi）恶风，翕翕（xi）发热，鼻鸣干呕者，桂枝汤主之。”“太阳病，头痛发热，汗出恶风者，桂枝汤主之。”,nan,nan,nan
10000007,正柴胡饮,正柴胡饮,经典,《景岳全书》（明?张景岳）,外感风寒轻证。微恶风寒，发热，无汗，头痛身痛，舌苔薄白，脉浮。（本方常用于感冒、流行性感冒、疟疾初起以及妇女经期、妊娠、产后感冒等属外感风寒而气血不虚者。）,解表散寒。,解表方,辛温解表,柴胡（9克） 防风（3克） 陈皮（4.5克） 芍药（6克） 甘草（3克） 生姜（三五片）,水一盅半，煎七八分，热服（现代用法：水煎温服）。,本方证属外感风寒表证之轻者。风寒束表，毛窍闭塞，卫阳被遏，因感邪较轻，故症见微恶风寒、发热、无汗、头身痛；苔薄白，脉浮为风寒表证之征象。外感风寒，宜解表散寒；表寒轻证，只需轻疏肌表，微发其汗，病邪自可外达，不必用辛温重剂，徒伤其表。方中君以柴胡辛散表邪。臣用防风祛风寒，止疼痛。生姜辛温发散，助柴胡、防风解表透邪；陈皮疏畅气机，以助祛邪外出；芍药益阴和营，防辛散太过而伤阴，共为佐药。甘草调和诸药为使。本方药性平和，对于气血不虚而外感风寒较轻者颇宜。,斟酌。,头痛甚者，加川芎以祛风止痛；热而烦渴者，加葛根以透热生津；呕恶者，加半夏以和胃降逆；湿盛者，加苍术以化湿运脾；寒盛而邪不易解者，加麻黄或苏叶发散风寒。,无,《景岳全书》卷51：“凡外感风寒，发热恶寒，头痛身痛，痎（jie）疟初起等证，凡血气平和，宜从平散者，此方主之。”,nan,nan,nan
10000024,香苏葱豉汤,香苏葱豉汤,经典,《重订通俗伤寒论》,妊娠伤寒。恶寒发热，无汗，头身痛，胸脘痞闷，苔薄白，脉浮。,发汗解表，调气安胎。,解表方,辛温解表,制香附（4.5-6克） 新会皮（4.5-6克） 鲜葱白（3枚） 紫苏（4.5-9克） 清炙草（2-2.5克） 淡香豉（9-12克）,水煎服。,暂无。,斟酌。,暂无。,无。,无。,nan,nan,nan
10000209,吴茱萸汤,吴茱萸汤,经典,《伤寒论》（汉?张仲景）,肝胃虚寒，浊阴上逆证。食后泛泛欲呕，或呕吐酸水，或干呕，或吐清涎冷沫，胸满脘痛，巅顶头痛，畏寒肢凉，甚则伴手足逆冷，大便泄泻，烦躁不宁，舌淡苔白滑，脉沉弦或迟。（本方适用于慢性胃炎、妊娠呕吐、神经性呕吐、神经性头痛、耳源性眩晕等属肝胃虚寒者。）,温中补虚，降逆止呕。,温里方,温中祛寒,吴茱萸（9克） 人参（9克） 生姜（18克） 大枣（4枚，擘[bo]）,上四味，以水七升，煮取二升，去滓。温服七合，日三服（现代用法：水煎服）。,本方证乃肝胃虚寒，浊阴上逆所致。肝胃虚寒，胃失和降，浊阴上逆，故食后泛泛欲吐，或呕吐酸水，或干呕，或吐清涎冷沫；厥阴之脉夹胃属肝，上行与督脉会于头顶部，胃中浊阴循肝经上扰于头，故巅顶头痛；浊阴阻滞，气机不利，故胸满脘痛；肝胃虚寒，阳虚失温，故畏寒肢冷；脾胃同居中焦，胃病及脾，脾不升清，则大便泄泻；舌淡苔白滑，脉沉弦而迟等均为虚寒之象。治宜温中补虚，降逆止呕。方中吴茱萸味辛苦而性热，归肝、脾、胃、肾经。既能温胃暖肝以祛寒，又善和胃降逆以止呕，一药而两擅其功，是为君药。重用生姜温胃散寒，降逆止呕，用为臣药。吴茱萸与生姜相配，温降之力甚强。人参甘温，益气健脾，为佐药。大枣甘平，合人参以益脾气，合生姜以调脾胃，并能调和诸药，是佐使之药。四药配伍，温中与降逆并施，寓补益于温降之中，共奏温中补虚，降逆止呕之功。,胃热呕吐，阴虚呕吐，或肝阳上亢之头痛均禁用本方。,若呕吐较甚者，可加半夏、陈皮、砂仁等以增强和胃止呕之力；头痛较甚者，可加川芎以加强止痛之功。肝胃虚寒重证，可加干姜、小茴香等温里祛寒。,无。,方论  许宏《金镜内台方议》卷８：“干呕，吐涎沫，头痛，厥阴之寒气上攻也。吐利，手足逆冷者，寒气内甚也；烦躁欲死者，阳气内争也；食谷欲呕者，胃寒不受食也；以此三者之证，共用此方者，以吴茱萸能下三阴之逆气为君，生姜能散气为臣，人参、大枣之甘缓，能和调诸气者也，故用之为佐使，以安其中也。”《伤寒论·辨阳明病脉证并治》：“食谷欲呕，属阳明也，吴茱萸汤主之。”《伤寒论·辨厥阴病脉证并治》：“干呕，吐涎沫，头痛者，吴茱萸汤主之。”,nan,nan,nan
10000243,补中益气汤,补中益气汤,经典,《内外伤辨惑论》,１．脾虚气陷证。饮食减少，体倦肢软，少气懒言，面色萎黄，大便稀溏，舌淡脉虚；以及脱肛，子宫脱垂，久泻久痢，崩漏等。２．气虚发热证。身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力。（本方常用于内脏下垂、久泻、久痢、脱肛、重症肌无力、乳糜尿、慢性肝炎等；妇科之子宫脱垂、妊娠及产后癃闭、胎动不安、月经过多；眼科之眼睑下垂、麻痹性斜视等属脾胃气虚或中气下陷者。）,补中益气，升阳举陷。,补益方,补气,黄芪（18克） 炙甘草（9克） 人参（6克） 当归（3克） 橘皮（6克） 升麻（6克） 柴胡（6克） 白术（9克）,为粗末，都作一服，水二盏，煎至一盏，去滓，食远稍热服（现代用法：水煎服。或作丸剂，每服10克-15克，日2-3次，温开水或姜汤下）。,本方治证系因饮食劳倦，损伤脾胃，以致脾胃气虚、清阳下陷所致。脾胃为营卫气血生化之源，脾胃气虚，纳运乏力，故饮食减少、少气懒言、大便稀薄；脾主升清，脾虚则清阳不升，中气下陷，故见脱肛、子宫下垂等；清阳陷于下焦，郁遏不达则发热，因非实火，故其热不甚，病程较长。时发时止、手心热甚于手背，与外感发热之热甚不休、手背热甚于手心者不同。气虚腠理不固，阴液外泄则自汗。治宜补益脾胃中气，升阳举陷。方中重用黄芪，味甘微温，入牌、肺经，补中益气，升阳固表，为君药。配伍人参、炙甘草、白术补气健脾为臣，与黄芪合用，以增强其补益中气之功。血为气之母，气虚时久，营血亦亏，故用当归养血和营，协人参、黄芪以补气养血；陈皮理气和胃，使诸药补而不滞，共为佐药。并以少量升麻、柴胡升阳举陷，协助君药以升提下陷之中气，《本草纲目》谓：“升麻引阳明清气上升，柴胡引少阳清气上行，此乃禀赋虚弱，元气虚馁，及劳役饥饱，生冷内伤，脾胃引经最要药也”，共为佐使。炙甘草调和诸药，亦为使药。诸药合用，使气虚得补，气陷得升则诸症自愈。气虚发热者，亦借甘温益气而除之。    关于用本方治疗气虚发热的理论依据，李东垣说：“是热也，非表伤寒邪皮毛间发热也，乃肾间脾胃下流之湿气闷塞其下，致阴火上冲，作蒸蒸燥热。”又说：“既脾胃虚衰，元气不足，而心火独盛。心火者，阴火也，起于下焦，其系系于心，心不主令，相火代之；相火，下焦包络之火，元气之贼也。火与元气不两立，一胜则一负。”（《内外伤辨惑论》卷中）可见这种发热在李东垣看来，就是“阴火”。其实质主要是脾胃元气虚馁，升降失常，清阳下陷，脾湿下流，下焦阳气郁而生热上冲，加之化源不足，“中焦取汁”不足以化赤生血，则心血不足以养心而致心火独亢而出现的热象。治疗这种发热，“惟当以甘温之剂，补其中，升其阳，甘寒以泻其火则愈。”“盖温能除大热，大忌苦寒之药泻胃土耳！今立补中益气汤。”（《内外伤辨惑论》）综上李氏创立“温能除大热”的理论，对区别外感与内伤发热的辨证、病机、治则、治法以及使用的宜忌等均有阐发，对深入理解本方意义和指导临床运用均有稗益。,阴虚发热及内热炽盛者忌用。,若兼腹中痛者，加白芍以柔肝止痛；头痛者，加蔓荆子、川芎；头顶痛者，加藁本、细辛以疏风止痛；咳嗽者，加五味子、麦冬以敛肺止咳；兼气滞者，加木香、枳壳以理气解郁。本方亦可用于虚人感冒，加苏叶少许以增辛散之力。,升阳益胃汤《《内外伤辨惑论》）、升陷汤（《医学衷中参西录》）、举元煎（《景岳全书》）,方论  罗美《古今名医方论》卷1：“凡脾胃一虚，肺气先绝，故用黄芪护皮毛而闭胰理，不令自汗；元气不足，懒言气喘，人参以补之；炙甘草之甘以泻心火而除烦，补脾胃而生气。此三味，除烦热之圣药也。佐白术以健脾；当归以和血；气乱于胸，清浊相干，用陈皮以理之，且以散诸甘药之滞；胃中清气下沉，用升麻、柴胡气之轻而味之薄者，引胃气以上腾，复其本位，便能升浮以行生长之令矣。补中之剂，得发表之品而中自安；益气之剂，赖清气之品而气益倍，此用药有相须之妙也。”《内外伤辨惑论》卷中：“气高而喘，身热而烦，其脉洪大而头痛，或渴不止，其皮肤不任风寒而生寒热。”,nan,nan,nan
10000273,益气导溺汤,益气导溺汤,经典,《中医妇科治疗学》,妊娠气虚下陷，小便不通，脐腹胀痛，面色苍白带青，心悸气短，神倦食少，舌淡苔白，脉沉滑无力,益气升清，温阳利尿,补益方,补气,南沙参  白术  扁豆  茯苓  桂枝   蜜升麻  桔梗  通草  乌药,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000279,四物汤,四物汤,经典,《太平惠民和剂局方》（宋?太平惠民和剂局）,冲任虚损。月水不调，脐腹疼痛，崩中漏下。血瘕块硬，时发疼痛。妊娠胎动不安，血下不止，及产后恶露不下，结生瘕聚，少腹坚痛，时作寒热。,补血调血。,补益方,补血,当归（10克） 川芎（8克） 白芍（12克） 熟地（12克）,现代服法：作汤剂，水煎服。一剂煎三次，早、午、晚空腹时服。,本方是补血调经的主方，它是从《金匮要略·妇人妊娠篇》中的芎归胶艾汤去阿胶、艾叶、甘草而成。对诸种血虚证，均以本方为基础随证化裁。冲为血海，任主胞胎。若冲脉虚损，则女子月经量少，色淡，经期推迟。再加下焦寒滞，则小腹作痛。若脾虚而不摄血，肾虚冲任不固，则崩中漏下等证也可相继发生。又或肝寒血滞，血行不畅而瘀停，可兼见癥块硬结，少腹脐周作痛。本方一当归补血、活血，熟地补血为主，川芎入血分理血中之气，芍药敛阴养血。故全方尽属血分药。但组合得体，补血而不滞血，行血而不破血，补中有散，散中有收，构成治血要剂。,斟酌。,若血寒，经期腰腹疼痛，克酌加炮姜、桂枝、吴萸、枳壳、香附、桑寄生、续断温寒、理气，行血、止痛。如妊娠胎漏，可加阿胶、酒炒艾叶、炙甘草变为“芎归阿胶汤”。若血瘀不行，可加丹参、桃仁、红花而逐瘀行血。若血虚而有郁热，可加黄芩、丹皮。若气虚而不摄血，可加潞党参、黄芪、白术。总之，本方随证加减，可统治诸种血证。,圣愈汤、桃红四物汤,方论  张秉成：“夫人之所赖以生者，血与气耳。故一切补气诸方，皆从四君化出，一切补血之方，又当从此四物而化也。补气者，当求脾肺；补血者，当求之肝肾。地黄入肾，壮水补阴，白芍入肝，敛阴益血。二味为补血之正药。然血虚多滞，经脉隧道，不能滑利通畅，又恐地、芍纯阴之性，无温养流动之机，故必加以当归、川芎辛香温润，能养血而行血中之气以流动之。总之，此方乃调理一切血证是起所长，若纯属阴虚血少，宜静不宜动者，则归、芎之走串行散，又非所宜也。”《成方便读》,nan,nan,nan
10000293,补血定痛汤,补血定痛汤,经典,《万病回春》（明?龚廷贤）,小产后瘀血腹痛,活血，止痛，祛瘀,补益方,补血,当归  川芎  熟地黄  白芍  延胡索  桃仁  红花  香附  青皮  泽泻   牡丹皮,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000307,泰山磐石散,泰山磐石散,经典,《古今医统大全》,气血虚弱所致的堕胎、滑胎。胎动不安，或屡有堕胎宿疾，面色淡白，倦怠乏力，不思饮食，舌淡苔薄白，脉滑无力。,益气健脾，养血安胎。,补益方,气血双补,人参（3克） 黄芪（6克） 白术（6克） 炙甘草（2克） 当归（3克） 川芎（2克） 白芍药（3克） 熟地黄（3克） 川续断（3克） 糯米（6克） 黄芩（3克） 砂仁（1.5克）,上用水一盅半，煎至七分，食远服。但觉有孕，三五日常用一服，四月之后，方无虑也。,暂无。,斟酌。,暂无。,无。,无。,nan,nan,nan
10000318,寿胎丸,寿胎丸,经典,《医学衷中参西录》（清?张锡纯）,肾虚滑胎，及妊娠下血，胎动不安，胎萎不长者,补肾安胎,补益方,气血双补,炒菟丝子  桑寄生  续断  阿胶,nan,nan,nan,nan,nan,nan,nan,nan,nan
