序号,方名,规范名,经典,出处,主治,功用,功用大类,功用小类,处方,炮制,方解,禁忌,化裁,附方,文献,用法用量,名家论述,备注
10000007,正柴胡饮,正柴胡饮,经典,《景岳全书》（明?张景岳）,外感风寒轻证。微恶风寒，发热，无汗，头痛身痛，舌苔薄白，脉浮。（本方常用于感冒、流行性感冒、疟疾初起以及妇女经期、妊娠、产后感冒等属外感风寒而气血不虚者。）,解表散寒。,解表方,辛温解表,柴胡（9克） 防风（3克） 陈皮（4.5克） 芍药（6克） 甘草（3克） 生姜（三五片）,水一盅半，煎七八分，热服（现代用法：水煎温服）。,本方证属外感风寒表证之轻者。风寒束表，毛窍闭塞，卫阳被遏，因感邪较轻，故症见微恶风寒、发热、无汗、头身痛；苔薄白，脉浮为风寒表证之征象。外感风寒，宜解表散寒；表寒轻证，只需轻疏肌表，微发其汗，病邪自可外达，不必用辛温重剂，徒伤其表。方中君以柴胡辛散表邪。臣用防风祛风寒，止疼痛。生姜辛温发散，助柴胡、防风解表透邪；陈皮疏畅气机，以助祛邪外出；芍药益阴和营，防辛散太过而伤阴，共为佐药。甘草调和诸药为使。本方药性平和，对于气血不虚而外感风寒较轻者颇宜。,斟酌。,头痛甚者，加川芎以祛风止痛；热而烦渴者，加葛根以透热生津；呕恶者，加半夏以和胃降逆；湿盛者，加苍术以化湿运脾；寒盛而邪不易解者，加麻黄或苏叶发散风寒。,无,《景岳全书》卷51：“凡外感风寒，发热恶寒，头痛身痛，痎（jie）疟初起等证，凡血气平和，宜从平散者，此方主之。”,nan,nan,nan
10000102,逍遥散,逍遥散,经典,《太平惠民和剂局方》（宋?太平惠民和剂局）,肝郁血虚，而致两胁作痛，寒热往来，头痛目眩，口燥咽干，神疲食少，月经不调，乳房作胀，脉弦而虚者。,疏肝解郁，健脾和营。,和解方,调和肝脾,柴胡（15克） 当归（15克） 白芍（15克） 白术（15克） 茯苓（15克） 生姜（15克） 薄荷（6克） 炙甘草（6克）,酌定用量，作汤剂煎服。,逍遥散为肝郁血虚，脾失健运之证而设。肝为藏血之脏，性喜条达而主疏泄，体阴用阳。若七情郁结，肝失条达，或阴血暗耗，或生化之源不足，肝体失养，皆可使肝气横逆，胁痛，寒热，头痛，目眩等证随之而起。“神者，水谷之精气也”（《灵枢·平人绝谷篇》）。神疲食少，是脾虚运化无力之故。脾虚气弱则统血无权，肝郁血虚则疏泄不利，所以月经不调，乳房胀痛。此时疏肝解郁，固然是当务之急，而养血柔肝，亦是不可偏废之法。本方既有柴胡疏肝解郁，又有当归、白芍养血柔肝。尤其当归之芳香可以行气，味甘可以缓急，更是肝郁血虚之要药。白术、茯苓健脾去湿，使运化有权，气血有源。炙甘草益气补中，缓肝之急，虽为佐使之品，却有襄赞之功。生姜烧过，温胃和中之力益专，薄荷少许，助柴胡疏肝郁而生之热。如此配伍既补肝体，又助肝用，气血兼顾，肝脾并治，立法全面，用药周到，故为调和肝脾之名方。,斟酌。,加丹皮、栀子，成为“加味逍遥散”。加地黄，成为“黑逍遥散”,加味逍遥散、黑逍遥散,方论  张秉成：“夫肝属木，乃生气所寓，为藏血之地，其性刚介，而喜条达，必须水以涵之，土以培之之，然后得遂其生长之意。若七情内伤，或六淫外束，犯之则木郁而病变多矣。此方以当归、白芍之养血，以涵其肝；苓、术、甘草之补士，以培其本；柴胡、薄荷、煨生姜惧系辛散气升之物，以顺肝之性，而使之不郁，如是则六淫七情之邪皆治而前证岂有不愈者哉。本方加丹皮、黑山栀各一钱，名加味逍遥散。治怒气伤肝，血少化火之证。故以丹皮之能人肝胆血分者，以清泄其火邪。黑山桅亦入营分，能引上焦心肺之热，屈曲下行，合于前方中自能解郁散火，火退则诸病皆愈耳。”（《成方便读》）,nan,nan,nan
10000108,清肝引经汤,清肝引经汤,经典,《中医妇科学》（四版教材）,经行吐衄,清泻肝热,和解方,调和肝脾,当归  白芍  地黄  牡丹皮  黄芩片  栀子  川楝子  川牛膝  茜草   白茅根  甘草,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000109,丹栀逍遥散,丹栀逍遥散,经典,《内科摘要》,肝脾血虚发热，或潮热晡热，或自汗盗汗，或头痛目涩，或怔忡不宁，或颊赤口干，或月经不调，或肚腹作痛，或小腹重坠，水道涩痛，或肿痛出脓，内热作渴,养血健脾，疏肝清热,和解方,调和肝脾,当归  白芍  茯苓  白术  柴胡   牡丹皮  栀子  甘草,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000130,清热调血汤,清热调血汤,经典,《古今医鉴》,妇人经水将来，腹痛，乍作乍止，气血俱实,清热除湿，化瘀止痛,清热方,清营凉血,当归  川芎  白芍  地黄  黄连片  香附  桃仁  红花  延胡索  牡丹皮  莪术,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000176,清经散,清经散,经典,《傅青主女科》（清?傅山）,肾中水亏火旺，经行先期量多者,清热，凉血，止血,清热方,清脏腑热,牡丹皮  地骨皮  酒白芍  熟地黄  青蒿  黄柏  茯苓,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000195,保阴煎,保阴煎,经典,《景岳全书》（明?张景岳）,阴虚血热之带下淋浊，血崩便血，月经提前,养阴清热，凉血止血,清热方,清虚热,地黄  熟地黄  黄芩片  黄柏  白芍  续断  甘草  山药,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000207,理中丸,理中丸,经典,《伤寒论》（汉?张仲景）,1．脾胃虚寒证。脘腹绵绵作痛，喜温喜按，呕吐，大便稀溏，脘痞食少，畏寒肢冷，口不渴，舌淡苔白润，脉沉细或沉迟无力。2．阳虚失血证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀。3．脾胃虚寒所致的胸痹；或病后多涎唾；或小儿慢惊等。（本方常用于急慢性胃肠炎、胃及十二指肠溃疡、胃痉挛、胃下垂、胃扩张、慢性结肠炎等属脾胃虚寒者。）,温中祛寒，补气健脾。,温里方,温中祛寒,人参（15克） 干姜（15克） 白术（15克） 甘草（15克）  {原方丸剂各用90克},作汤剂，水煎服，用量按原方比例酌减。{作丸剂，共研细末，炼蜜为丸，每丸重9克，每次一丸，温开水送服，每日2-3次。},本方所治诸证皆由脾胃虚寒所致。中阳不足，寒从中生，阳虚失温，寒性凝滞，故畏寒肢冷、脘腹绵绵作痛、喜温喜按；脾主运化而升清，胃主受纳而降浊，今脾胃虚寒，纳运升降失常，故脘痞食少、呕吐、便溏；舌淡苔白润，口不渴，脉沉细或沉迟无力皆为虚寒之象。治宜温中祛寒，益气健脾。方中干姜为君，大辛大热，温脾阳，祛寒邪，扶阳抑阴。人参为臣，性味甘温，补气健脾。君臣相配，温中健脾。脾为湿土，虚则易生湿浊，故用甘温苦燥之白术为佐，健脾燥湿。甘草与诸药等量，寓意有三：一为合参、术以助益气健脾；二为缓急止痛；三为调和药性，是佐药而兼使药之用。纵观全方，温补并用，以温为主，温中阳，益脾气，助运化，故曰“理中”。    阳虚失血，无论吐、衄或便血、崩漏，但见面色* 白、气短神疲、脉细或虚大无力，是阳气虚弱，脾不统血所致，以本方加减治疗。    胸痹一病，总由上焦阳气不足，阴寒之邪上乘，胸中之气痹阻所致。若心中痞坚，逆气上冲心胸，是中焦阳虚，又有痰饮上犯所致。可用本方温中祛寒，益气健脾，使中焦气旺，则上焦之气开发，逆气可平，胸痹可愈。    病后多生涎唾，久久不已，是脾气虚寒，不能摄津，津上溢于口所致。以本方丸剂缓治，亦可徐徐收功。    小儿慢惊，总由先天不足，后天失调，或过服寒凉之品，或大病后调理不善，损害脾胃阳气所致。若形气赢瘦、手足不温、呕吐泄泻、神疲食少、舌淡苔白、脉细迟或沉细缓弱者，纯属中焦虚寒，亦可用本方治疗。    综观本方，治病虽多，究其病机，总属中焦虚寒，可以异病同治。本方在《金匮要略》中作汤剂，称“人参汤”。理中九方后亦有“然不及汤” 四字。盖汤剂较丸剂作用力强而迅速，临床可视病情之缓急酌定使用剂型。,湿热内蕴中焦或脾胃阴虚者禁用。,若虚寒甚者，可加附子、肉桂以增强温阳祛寒之力；呕吐甚者，可加生姜、半夏降逆和胃止呕；下利甚者，可加茯苓 白扁豆健脾渗湿止泻；阳虚失血者，可将干姜易为炮姜，加艾叶、灶心土温涩止血；胸痹，可加薤白、桂枝、枳实振奋胸阳，舒畅气机。,附子理中丸（《太平惠民和剂局方》）、桂枝人参汤（《伤寒论》）,方论  张秉成《成方便读》卷２：“此脾阳虚而寒邪伤内也。夫脾阳不足，则失其健运之常，因之寒凝湿聚。然必其为太阴寒湿，方可用此方法，否则自利呕痛等症，亦有火邪为患者。故医者当望闻问切四者合参，庶无差之毫厘，缪以千里之失。若表里寒热虚实既分，又当明其病之标本。如以上诸病，虽系寒凝湿聚，皆因脾阳不足而来，则阳衰为本，寒湿为标。是以方中但用参、术、甘草，大补脾元，加炮姜之温中守而不走者，以复其阳和，自然阳长阴消，正旺邪除耳。”《伤寒论·辨霍乱病脉证并治》：“霍乱，头痛发热，身疼痛，热多欲饮水者，五苓散主之；寒多不用水者，理中丸主之。”《伤寒论·辨阴阳易差后劳复病脉证并治》：“大病差后，喜唾，久不了了，胸上有寒，当以丸药温之，宜理中丸。”,nan,nan,nan
10000215,理中汤,理中汤,经典,《伤寒论》（汉?张仲景）,脾胃虚寒证，自利不渴，呕吐腹痛，腹满不食及中寒霍乱，阳虚失血，如吐血，便血或崩漏，胸痞虚证，胸痛彻背倦怠少气，四肢不温，现用于急，慢性胃炎，胃窦炎，溃疡病，胃下垂，慢性肝炎等属脾胃虚寒者,温中祛寒，补气健脾,温里方,温中祛寒,人参  干姜  炙甘草  白术,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000234,当归四逆汤,当归四逆汤,经典,《伤寒论》（汉?张仲景）,血虚寒厥证。手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝。（本方常用于血栓闭塞性脉管炎、无脉症、雷诺病、小儿麻痹、冻疮、妇女痛经、肩周炎、风湿性关节炎等属血虚寒凝者。）,温经散寒，养血通脉。,温里方,温经散寒,当归（12克） 桂枝（9克） 芍药（9克） 细辛（3克） 通草（6克） 大枣（8枚，擘[bo]） 炙甘草（6克）,上七味，以水八升，煮取三升，去滓。温服一升，日三服（现代用法：水煎服。）,本方证由营血虚弱，寒凝经脉，血行不利所致。素体血虚而又经脉受寒，寒邪凝滞，血行不利，阳气不能达于四肢末端，营血不能充盈血脉，遂呈手足厥寒、脉细欲绝。此手足厥寒只是指掌至腕、踝不温，与四肢厥逆有别。治当温经散寒，养血通脉。本方以桂枝汤去生姜，倍大枣，加当归、通草、细辛组成。方中当归甘温，养血和血；桂枝辛温，温经散寒，温通血脉，为君药。细辛温经散寒，助桂枝温通血脉；白芍养血和营，助当归补益营血，共为臣药。通草通经脉，以畅血行；大枣、甘草，益气健脾养血，共为佐药。重用大枣，既合归、芍以补营血，又防栓枝、细辛燥烈大过，伤及阴血。甘草兼调药性而为使药。全方共奏温经散寒，养血通脉之效。    本方的配伍特点是温阳与散寒并用，养血与通脉兼施，温而不燥，补而不滞。,斟酌。,治腰、股、腿、足疼痛属血虚寒凝者，可酌加川断、牛膝、鸡血藤、木瓜等活血祛瘀之品；若加吴茱萸生姜，又可治本方证内有久寒，兼有水饮呕逆者；若用治妇女血虚寒凝之经期腹痛，及男子寒疝、睾丸掣痛、牵引少腹冷痛、肢冷脉弦者，可酌加乌药、茴香、良姜、香附等理气止痛；若血虚寒凝所致的手足冻疮，不论初期未溃或已溃者，均可以本方加减运用。,当归四逆加吴茱萸生姜汤（《伤寒论》）、黄芪桂枝五物汤（《金匮要略》）,方论  许宏《金镜内台方议》卷7：“阴血内虚，则不能荣于脉；阳气外虚，则不能温于四末，故手足厥寒、脉细欲绝也。故用当归为君，以补血；以芍药为臣，辅之而养营气；以桂枝、细辛之苦，以散寒温气为佐；以大枣、甘草之甘为使，而益其中，补其不足；以通草之淡，而通行其脉道与厥也。”《伤寒论·辨厥阴病脉证并治》：“手足厥寒，脉细欲绝者，当归四逆汤主之。”,nan,nan,nan
