ID,名称,别名,性味,归经,功效,主治,entity,摘自
100,杜鹃花根,翻山虎、搜山虎,平、温、甘、辛、酸、毒,肝、肾、大肠,祛风、止痛、涩肠、止血、止泻、和血,吐血、衄血、月经不调、崩漏、肠风下血、痢疾、风湿疼痛、跌打损伤,吐血不止 衄血 月经不调 崩中漏下 肠风 月经过多 痢不止 寒湿 疼痛 跌打损伤,"《浙江民间常用草药》,《采药书》,《草木便方》,《分类草药性》,《贵州民间方药集》,《江西草药》"
200,六轴子,土连翘、山芝麻、闹羊花子、天芝麻、羊踯躅果,温、苦、毒,肝,祛风、止痛、消肿、散瘀,风寒湿痹、历节疼痛、跌打损伤、痈疽疔毒,寒邪 湿痹 痛风 疼痛 跌打损伤 痈 疔毒,"《百草镜》,《饮片新参》"
300,太白参,太白洋参、黑洋参,温、苦、甘,脾、肾,和胃、健脾、滋阴、补肾,身体虚弱、肾虚骨蒸、纳呆,肌体羸瘦 肾虚 骨蒸潮热,"《北方常用中草药手册》,《陕西中草药》"
400,海浮石,水花、海石、水泡石、浮海石、浮水石、羊肚石,寒、平、咸、毒,肝、肺、肾,软坚、通淋、清肺、化痰、清肺火,痰热喘嗽、老痰积块、题瘤、瘰疬、淋病、疝气、疮肿、目翳,痰热 喘嗽 痰盛 瘰疬 淋 疝气 疮疥,"《本草从新》,《本草拾遗》,《日华子本草》,《本草衍义》,《纲目》,《本草正》"
500,鳖胆,missing,寒、咸,大肠,凉血,痔漏,痔漏,《本草纲目》
600,赤小豆芽,missing,平、甘,肝、肾、大肠,清热、凉血,便血、妊娠胎漏,大便后下血 胎漏,《本草纲目》
700,樗叶,missing,温、苦、毒,肺,解毒、杀虫,疮疥、风疽,疮疥,《本草纲目》
800,慈竹箨,慈竹笋壳,寒、甘,肺、脾、心,祛风、凉血、止血、解毒,犬(咬)伤、发热、疮疡,遍身壮热 疮疥,《本草纲目》
900,鸱骨,missing,凉、咸,肺、肾,滋阴、泻火,鼻衄,鼻衄,《本草纲目》
1000,枫香树叶,missing,平、苦、辛、毒,肝、脾、肾, ,missing,,《本草纲目》
1100,胡桃壳,missing,平、苦,肝、心,疗痈、杀疥、活血、行气、解毒、疗癣,血崩、乳痈、疥癣,血崩 乳痈,《本草纲目》
1200,驴阴茎,驴鞭、驴三件、驴肾,温、咸、甘、毒,肝、肾,强筋、益肾,阳萎、筋骨酸软、骨结核、骨髓炎、气血虚亏、妇女乳汁不足,气血虚 乳汁不足,《本草纲目》
1300,猫头,missing,温、甘、酸、毒,肺、大肠,消瘰、疗疮,瘰疬、痈疽、恶疮、痔疾,瘰疬 痈 疮疥 痔疮,《本草纲目》
1400,榆叶,missing,寒、平、甘、毒,脾、胃,除烦、清热、消肿、利水,失眼症、水肿,水肿,《本草纲目》
1500,益母草花,missing,平、苦、甘,肝、肺,敛疮、活血、解毒、祛瘀、活血祛,肿毒疮疡、妇人胎产诸病,肿毒 疮疥,《本草纲目》
1600,赤链蛇,赤链、赤楝蛇、桑根蛇、火赤炼、火练蛇、火赤链蛇、红斑蛇,平、咸、涩,脾、心,敛疮、生肌,慢性痿管及溃疡,下肢溃疡,《本草纲目》 
1700,肥皂核,肥皂子,温、甘、毒,肺、心、大肠,止咳、润肠、化痰、通便,吐顽痰、风秘、便秘、疮、癣、痢疾,大便结燥 痢不止,《本草纲目》 
1800,胡萝卜子,missing,凉、苦,肺、大肠,平喘、解毒、止痢、化痰,肺热痰喘、久痢,气怒肺热 痰喘 久痢,《本草纲目》 
1900,油胡桃,missing,热、辛、毒,肝,疥癣、杀虫、攻毒,missing,,《本草纲目》 
2000,柘耳,柘黄, ,肺,疗痈、解毒,missing,,《本草纲目》 
2100,鳖脂,鳖膏、鳖油,温、咸、甘,肝、肾,养血、补精,虚证,,"《本草纲目》,《本草蒙筌》,《现代实用中药》?"
2200,大丁草,烧金草、豹子药、苦马菜、米汤菜、鸡毛蒿、白小米菜、踏地香、龙根草、翻白叶,温、苦、毒,肺、脾,祛风、解毒、祛风湿,风湿麻木、咳喘、疔疮,寒湿 麻木 咳喘 疔疮,"《本草纲目》,《贵州民间药物》,《贵州草药》"
2300,鹅臎,鹅尾罂,温、辛,脾、肾、胃,补肝,盯耳、耳聋、手足皴,耳聋,"《本草纲目》,《日华子本草》"
2400,胆星,胆南星,凉、苦、辛,肝、肺、心、胆,清火、定癎、镇惊、化痰,中风痰迷、惊风癫癎、痰火喘嗽、头风眩晕,中风 痰迷 惊风 痰火 喘嗽 偏正头风 眩晕,"《本草纲目》,《药品化义》,《本草汇言》,《本草正》"
2500,慈姑叶,missing,寒、苦、甘、辛、毒,脾、心,消肿、解毒,疮肿、丹毒、恶疮、虫咬性皮炎,疮疥 丹毒 疮疥 皮炎,《本草纲目》?
2600,桑鳸,桑扈、青雀、窃脂、蜡嘴雀、蜡嘴,温、甘、毒,脾、胃,益气、生肌,虚损赢瘦,元气虚惫,《本草纲目》?
2700,车螯,蜃、昌娥,寒、平、咸、甘、毒,肺、脾,消肿、解毒、解毒消,痈疽肿毒,痈 肿毒,《本草纲目拾遗》
2800,豉虫,豉母虫,毒,脾、心,蚀肉、疗疮,疮痈,痈,《本草纲目拾遗》
2900,臭梧桐根,芙蓉根,寒、平、苦、毒,肝、脾、心,除疾、祛风、除湿、消肿、消积、解毒、疗疳、散瘀、疗疮、截疟、导滞,疟疾、风湿痹痛、高血压、食积饱胀、小儿疳疾、跌打损伤,疟 寒湿 食积 饱胀 小儿疳 跌打损伤,《本草纲目拾遗》
3000,貂尾,黑貂、栗鼠、貂鼠、松狗,平、甘,肺,活血、散瘀,冻疮,,《本草纲目拾遗》
3100,淡竹壳,淡竹箨,寒、苦,肝,清肝、明目,眼疾病,,《本草纲目拾遗》
3200,淡竹根,恒生骨,甘、毒,肺、心,除烦、清心、祛痰、清肺,缺乳,,《本草纲目拾遗》
3300,鹅喉管,missing,平、甘,肺,清热、解毒、热解毒,喉痹、哮喘、赤白带下,咽喉肿痛 哮喘 赤白带下,《本草纲目拾遗》
3400,鹅蛋壳,missing,平、甘、淡,肺,清热、解毒、热解毒,痈疽无头,痈,《本草纲目拾遗》
3500,鲎尾,missing,平、咸,肝、肾、大肠,清肠、活血、止痢、疏风,痢疾、崩漏,痢不止 崩中漏下,《本草纲目拾遗》
3600,节瓜,missing,甘、淡,肺、脾、小肠,健脾、止渴、利湿、生津,消渴、水肿,消渴 水肿,《本草纲目拾遗》
3700,柑皮,广陈皮、新会皮、陈柑皮,寒、甘、辛、毒,脾、胃,醒酒、调中、下气、化痰,病后饮食失调、上气烦满、伤酒口渴,上气 烦满 伤酒 口干,《本草纲目拾遗》 
3800,米露,missing,平、甘,肺、脾、胃,补脾、养胃,脾胃虚弱、食少、便溏、神疲乏力等症,脾胃虚弱 饮食不下 大便时溏 精神不守 多倦,《本草纲目拾遗》 
3900,万年青花,missing,平、甘、辛,肝、肾,补肾、活血、强腰、祛瘀、活血祛,肾虚腰痛、跌打损伤,肾虚腰痛 跌打损伤,《本草纲目拾遗》 
4000,海鹞鱼,善赐鱼、邵阳鱼、石烦、少阳鱼、荷鱼、鲍鱼、踊勋鱼、蒲鱼、锅盖鱼,寒、平、咸、甘、毒,肾,清热、泄浊、利湿,体虚、男子白浊冒淋、玉茎涩痛,肌体羸瘦 小便浊败 淋 涩,"《本草纲目拾遗》,《本草拾遗》,《本草纲目》,《魏武食制》,《岭表录异》,《本草求原》"
4100,苦竹笋,missing,寒、苦、甘、毒,肝、肾,清热、除湿、利水、明目,消渴、面目黄、脚气、中风失音,消渴 风湿脚气 中风 失音,"《本草纲目拾遗》,《本草拾遗》,《食疗本草》,《食医心镜》,《食物本草》,《纲目》"
4200,桂花,木犀花、九里香、岩桂、桂,温、辛,肝、肺、大肠,散瘀、化痰,痰饮喘咳、肠风血痢、疝瘕、牙痛、口臭,痰饮 咳喘 肠风 血痢 齿痛 口臭,"《本草纲目拾遗》,《纲目》"
4300,鷩雉,赤鷩、采鸡、锦鸡、金鸡,温、甘、辛、毒,脾,温中、补脾,中焦虚寒、呕吐腹痛,中焦 虚寒 干呕 肚腹痛,"《本草纲目拾遗》,《纲目》,《禽经》,《尔雅》,《逸周书》"
4400,都咸子,都咸树、檟如树、心果树,平、甘、毒,肺,除烦、润肺、止咳、止渴,咳逆、心烦、口渴,咳逆 心神多躁 口干,"《本草纲目拾遗》,《南方草木状》,《本草拾遗》"
4500,买麻藤,买子藤、驳骨藤、大节藤、乌骨风、麻骨风、黑藤、鸡节藤、鹤膝风、小木米藤、脱节藤、竹节藤、接骨藤,温、苦,肝、肺,祛风、除湿、止咳、活血、散瘀、化痰,跌打损伤、风湿骨痛、鹤膝风风寒咳嗽,跌打损伤 寒湿 骨疼 鹤膝风 寒邪 咳嗽,"《本草纲目拾遗》,《职方典》,《南方主要有毒植物》"
4600,扶栘木皮,missing,平、苦、毒,肝、脾、心,活血、止血、杀虫、止痒、疏风,风疹、皮肤瘙痒、血崩,风疹 皮肤瘙痒 血崩,"《本草纲目拾遗》,崔豹《古今注》,《本草拾遗》"
4700,石荠苧,鬼香油、小鱼仙草、香茹草、野荆芥、痱子草、土荆芥、野香茹、热痱草、香草、野芥菜、白鹤草、天香油、五香草、土茵陈、紫花草,凉、温、苦、辛、毒,肺、脾、大肠,祛风、清暑、补肺、消肿、解毒、益脾、祛风湿、清暑热,暑热痧症、衄血、血痢、感冒咳嗽、慢性气管炎、痈疽疮肿、风疹、热痱,衄血 血痢 感冒 咳嗽 痈 疮疥 风疹,"《本草纲目拾遗》,汪连仕《采药书》,《植物名实图考》"
4800,石榴根,石榴根皮、酸榴根,温、苦、涩、酸、毒,脾、胃、大肠,涩肠、止带、杀虫,蛔虫、绦虫、久泻、久痢、赤白带下,蛔虫 久泻 久痢 赤白带下,《本草经集注》
4900,大麦,麰、倮麦、麰麦、牟麦、饭麦、赤膊麦,寒、凉、平、咸、甘、毒,脾、胃,和胃、宽肠、利水,食滞泄泻、小便淋痛、水肿、烫火伤,食滞 痢不止 小便频涩痛 水肿,"《本草经集注》,《本草衍义》,《别录》,《唐本草》,《崔禹锡食经》,《本草拾遗》,《纲目》"
5000,柏脂,柏油,平、甘,肝、心,除湿、杀疥、解毒、泻火、疗疮、疗癣,疥癣、癞疮、秃疮、黄水疮、丹毒,癞疮 丹毒,"《本草经集注》,《纲目拾遗》"
5100,燕窠土,胡燕案内土、燕窠泥、燕窝泥、燕子泥,毒,脾,祛风、解毒、杀虫、止痒,风瘙瘾疹、浸淫湿疮、白秃、丹毒、口疮,搔痒 瘾疹 湿疮 丹毒 口烂,《本草蒙筌》
5200,鳖卵,missing,寒、咸,肾、大肠,养阴、清肠,腹泻、痢疾,腹泻 痢不止,"《本草蒙筌》,《纲目》,《医林纂要》"
5300,神仙掌花,玉英,平、辛,脾、心,活血、止血,吐血、衄血、中焦出血者,吐血不止 衄血 中焦 出血,《本草求原》
5400,丝瓜蒂,missing,寒、甘,肝、心,清热、疏风,小儿痘、咽喉肿痛,咽喉肿痛,"《本草求原》,《学圃杂疏》"
5500,刺桐花,鹦哥花,凉、苦,肝,清热、凉血、止血、解毒、热解毒,痈疽疔疮、金疮、蛇虫咬伤、刀伤出血、痔、便血,痈疽疔疮 破伤风 出血 大便后下血,《本草图经》
5600,红药子,红药、赤药、朱砂七、黄药子、朱砂莲、猴血七、血三七、毛葫芦,凉、苦、涩,肝、脾、胃、大肠,抗菌、止痛、凉血、解痉、补肾、活血、止血、健胃、止泻、镇静、消炎、顺气,扁桃体炎、肠炎、胃炎、溃疡病、菌痢、胆道蛔虫症、外伤感染、蜂窝织炎、痈疖、脓痂疹、泌尿系感染、月经不调、崩漏、外伤出血、吐血、衄血、便血、跌打损伤、风湿腰腿痛,下肢溃疡 痢不止 蛔虫 痈 疖 丹疹 月经不调 崩中漏下 出血 吐血不止 衄血 大便后下血 跌打损伤 寒湿 腿疼,《本草图经》
5700,榅桲皮,榅桲木皮,平、酸,肝,敛疮、收湿,黄水疮,,《本草图经》
5800,龙船花茎叶,missing,平、温、咸、甘,脾、肾,健脾、止痛、消肿、活血、安胎、祛瘀、活血祛,跌打损伤、疮疖痈肿、胎动不安,跌打损伤 疖 痈 动胎,《本草图经》 
