,new_true_diseases,new_true_pattern,new_true_treat,new_true_symptom
0,产后少乳,胃虚寒,进饮食,胸胀
1,痨证,肾气不和,,乍寒乍乱
2,胃气不调,寒湿下注,,膨胀满闷
3,脾疸,肝胃少弱,,脉无常候
4,产后恶物不止,气血怯弱,,嗜睡
5,产后恶露闷绝,下焦虚冷,,四肢懈倦
6,产后疸症,气血已虚,,腰膝生痠
7,发眉,肝虚火炎,,胁肋痛
8,妊娠恶呕,冲任两虚,,汗多不止
9,中毒,肝气郁滞,,气上烦满
10,火证,脉虚,,口舌烦渴
11,经水愆期,冲任虚寒,,性情急躁
12,胎疟,肝气虚弱,,肌体怯弱
13,阴缩,脾郁,,手脚浮肿
14,血虚,荣卫凝涩,,血海干枯
15,经水过期不行,气寒,,少腹冷
16,乳吹,肝经郁火,,脉浮紧涩
17,内虚,肝经不足,,饱闷
18,经水适断,脾气虚馁,,筋骨软弱
19,疳疾,心脾郁结,,两目发黄
20,紫癜风,血凝寒滞,,脉弦紧数
21,胎癞,中满,,发肿
22,痨症,冲任脉虚,,尿有余沥
23,子痢,阴虚夹热,,瘾疹
24,产后恶血上行,肝阴不足,,小便膏淋
25,经脉不匀,气阳两亏,,浑身瘙痒
26,产后乳蒸,痰滞,,不得眠睡
27,痰热,肝气不调,,腹脏撮痛
28,头疳,肝脾不足,,面色淡
29,月水不准,肝肾久虚,,湿疮
30,胎黄,气血盛实,,目弦
31,痫疾,脾胃失调,,苔黄
32,经水先来,气血双亏,,心腹饱胀
33,经水过期,气血虚少,,形寒肢冷
34,心悸,经络凝滞,,细疮
35,经月不通,肾水下虚,,肋胁痛满
36,盘疝,气血衰弱,,胸背疼闷
37,中恶,肝胃热邪壅滞,,手足挛曲
38,经行先后无定期,脾胃有热,,暴下不止
39,孕痈,脾气不和,,疮肿
40,经行出痘,痰湿,,脉大滑疾
41,痨疾,阴虚血燥,,肢体瘦瘁
42,月经过期不通,气血虚羸,,头目昏疼
43,月经错后,,,脉洪滑疾
44,产后痢症,,,脉数涩大
45,经水沸溢,,,指节疼痛
46,妊娠子肿,,,脉沉数有力
47,过多,,,脉紧数大
48,瘰疬,,,上视
49,女痨疸,,,面目青黄
50,产后乳汁不出,,,鼻中出血
51,产后恶血上冲,,,心肺俱损
52,经病不通,,,举动艰辛
53,产后狂病,,,遍身黑
54,月经紊乱,,,腿足疼痛
55,血膈,,,卒倒昏闷
56,月水过期,,,子宫冷痛
57,逆经,,,小便利多
58,血疾,,,形容枯瘦
59,子晕,,,下利纯白
60,风证,,,声如蝉噪
61,产后恶露冲脾,,,体肥
62,子疟,,,小便浊败
63,经行无定期,,,身体倦疼
64,妊身阻病,,,慢惊风
65,内钓,,,红晕
66,汗病,,,腹胁（？？）痛
67,产后经病,,,昼夜不安
68,产瘫,,,鼻流黄涕
69,热病,,,遍身发斑
70,阴疝,,,脉浮涩
71,产后乳汁不足,,,面色时红时青
72,乳积,,,腰胯痹痛
73,内吹,,,惊烦
74,经少,,,身体重著
75,血闭,,,虚气胀满
76,产后瘛疭,,,忧愁思虑
77,月水时下,,,小便清白
78,,,,大便虚急
79,,,,腹有痛感
80,,,,小便淡黄
81,,,,苔厚黄而燥
82,,,,脉沉细涩
83,,,,血昏
84,,,,清腥如水
85,,,,唇紧
86,,,,遍身黄色
87,,,,恍惚忧惧
88,,,,胸腹作痛
89,,,,胸中胀满
90,,,,小便少
91,,,,小便黄涩
92,,,,坚硬疼痛
93,,,,肢体沉困
94,,,,腹无痛苦
95,,,,脓水淋漓
96,,,,含糊謇涩
97,,,,四肢沉困
98,,,,大热壅极
99,,,,色淡红
100,,,,皮肤生疮
101,,,,大便时溏
102,,,,骨间冷疼
103,,,,羸乏
104,,,,喜暖恶寒
105,,,,精神怯弱
106,,,,面黄发脱
107,,,,嗽喘急
108,,,,膝胫酸痛
109,,,,精神冒闷
110,,,,便泻
111,,,,经血凝涩
112,,,,脉浮细涩
113,,,,大肠滞涩
114,,,,肢体痛倦
115,,,,脉浮细数
116,,,,头面生疮
117,,,,腰腹坠痛
118,,,,四肢困烦
119,,,,阴中生虫
120,,,,肚腹肿痛
121,,,,小便不调
122,,,,血溢
123,,,,胸膈疼痛
124,,,,营卫虚弱
125,,,,肢体常痛
126,,,,脐腹胀满
127,,,,筋骨羸瘦
128,,,,久喘
