组合,关联度系数
"['解毒', '清热']",0.09501429424997676
"['解毒', '消肿']",0.023198832198192187
"['祛风', '除湿']",0.11300084350536199
"['清热', '利湿']",0.029872477253955587
"['清热', '消肿']",0.0004593157529766412
"['解毒', '止血']",0.0006733922124677605
"['清热', '止血']",0.0009289198596187376
"['解毒', '止痛']",0.002841751003120674
"['解毒', '活血']",0.00013037799400983374
"['止痛', '祛风']",0.010130698456653708
"['止痛', '活血']",0.009850641753278988
"['解毒', '祛风']",0.0009526813740281526
"['止痛', '消肿']",0.005835618775273388
"['祛风', '活血']",0.010207140122444835
"['清热', '止痛']",0.0033858765729770646
"['解毒', '利湿']",0.002577433931923112
"['清热', '凉血']",0.012570134257560817
"['清热', '活血']",0.002186260862795608
"['解毒', '凉血']",0.005543610063315052
"['止血', '凉血']",0.025676075726863923
"['消肿', '活血']",0.0008812492089411705
"['清热', '利尿']",0.005551208921139694
"['清热', '止咳']",3.709413498587111e-08
"['解毒', '散瘀']",0.0001735066992685219
"['活血', '除湿']",0.006801552347091122
"['止痛', '除湿']",0.0036462365784957207
"['解毒', '止咳']",0.001207678197274964
"['消肿', '祛风']",2.7003202701880724e-05
"['消肿', '散瘀']",0.007680531913333399
"['解毒', '除湿']",0.0011346450324587476
"['清热', '祛风']",0.012697812651602414
"['消肿', '止血']",4.205088071307372e-06
"['解毒', '杀虫']",0.0009240991737323734
"['止痛', '散瘀']",0.005716633302088159
"['止痛', '行气']",0.01380489094132653
"['清热', '散瘀']",8.058922134401847e-06
"['解毒', '利尿']",0.00011339983960434452
"['止咳', '化痰']",0.020505398751503257
"['活血', '止血']",0.0001389568078266068
"['止痛', '止血']",0.002336188667146688
"['活血', '散瘀']",0.0028617942384510098
"['止血', '散瘀']",0.0028823798774129106
"['消肿', '利湿']",0.0004264481653292185
"['消肿', '利水']",0.007126401555001216
"['活血', '调经']",0.011523909932540377
"['止血', '利湿']",0.0005055144343172335
"['祛风', '通络']",0.011926359620379023
"['活血', '利湿']",0.0003305615798975259
"['祛风', '散寒']",0.008883407164704593
