,功效词根,亲友团
0,解毒,消肿、止血、止痛、活血、祛风、利湿、凉血
1,清热,利湿、消肿、止血、止痛、凉血、活血、利尿
2,止痛,祛风、活血、消肿、清热、除湿、散瘀、行气
3,消肿,清热、止痛、活血、祛风、散瘀、止血、利湿
4,祛风,止痛、解毒、活血、消肿、清热、通络、散寒
5,活血,止痛、祛风、清热、消肿、除湿、止血、散瘀
6,止血,清热、凉血、消肿、活血、止痛、散瘀、利湿
7,止咳,解毒、化痰、平喘、止血、消肿、润肺、活血
8,除湿,活血、止痛、解毒、清热、消肿、止血、散瘀
9,利湿,解毒、消肿、止血、活血、祛风、止痛、凉血
10,散瘀,消肿、止痛、清热、活血、止血、祛风、除湿
11,凉血,解毒、止血、消肿、利湿、止咳、止痛、散瘀
12,利尿,解毒、消肿、通淋、止血、活血、止痛、祛风
13,杀虫,清热、止痒、祛风、止痛、消肿、燥湿、止血
14,化痰,清热、解毒、消肿、祛风、散结、止痛、止血
15,利水,解毒、清热、通淋、活血、祛风、止痛、止血
16,健脾,利湿、益气、清热、消食、活血、祛风、和胃
17,行气,活血、祛风、解毒、消肿、除湿、清热、温中
18,散寒,止痛、温中、除湿、活血、解毒、消肿、行气
19,理气,活血、解毒、祛风、清热、散寒、化痰、消肿
20,散结,清热、消肿、化痰、软坚、止痛、祛风、活血
21,明目,清肝、解毒、祛风、退翳、止血、止痛、消肿
22,调经,清热、止痛、解毒、止血、祛风、止咳、利湿
23,止痒,祛风、解毒、清热、消肿、止痛、除湿、燥湿
24,通络,活血、止痛、解毒、除湿、清热、消肿、利湿
25,舒筋,活血、祛风、除湿、止痛、解毒、清热、消肿
26,活络,祛风、止痛、除湿、解毒、清热、通经、散寒
27,燥湿,解毒、杀虫、止血、止痒、祛风、泻火、化痰
28,通淋,利尿、解毒、利水、止血、活血、消肿、利湿
29,解表,清热、解毒、止痛、止咳、发汗、疏风、散寒
30,消食,清热、解毒、健胃、止痛、化积、行气、活血
31,生肌,解毒、清热、止痛、敛疮、消肿、活血、散瘀
32,消积,清热、杀虫、健脾、止痛、利湿、行气、化痰
33,祛瘀,解毒、止痛、消肿、清热、止血、祛风、除湿
34,益气,补中、解毒、活血、补肾、祛风、消肿、补虚
35,敛疮,止血、清热、生肌、止痛、祛风、消肿、活血
36,止泻,解毒、清热、收敛、涩肠、止痛、止咳、健脾
37,平喘,解毒、清热、止痛、祛风、化痰、活血、消肿
38,润肺,清热、解毒、化痰、生津、消肿、止血、滋阴
39,补肾,活血、止血、健脾、益气、滋阴、止痛、益精
40,祛风湿,活血、解毒、强筋骨、通经络、消肿、止咳、清热
41,安神,养心、解毒、止血、活血、宁心、镇惊、止咳
42,收敛,解毒、清热、止泻、止痛、生肌、止咳、消肿
43,化瘀,解毒、清热、止血、止痛、消肿、祛风、除湿
44,祛痰,解毒、清热、消肿、平喘、止痛、止血、活血
45,清肺,解毒、止血、化痰、消肿、凉血、利咽、清热
46,温中,散寒、行气、祛风、理气、活血、除湿、消食
47,生津,清热、润肺、解毒、滋阴、止血、养阴、养胃
48,接骨,止痛、解毒、续筋、活血、消肿、清热、祛风
49,和胃,解毒、止痛、理气、清热、止咳、消肿、祛风
50,消炎,解毒、清热、止血、活血、祛风、止咳、利尿
51,健胃,止痛、清热、解毒、理气、消肿、行气、温中
52,通经,活络、解毒、祛风、除湿、消肿、清热、止痛
53,疏风,解毒、解表、止咳、止痛、活血、消肿、利湿
54,止痢,清热、止血、凉血、活血、止咳、燥湿、消肿
55,补虚,清热、祛风、健脾、活血、益气、消肿、止血
56,平肝,解毒、潜阳、熄风、活血、止血、祛风、明目
57,滋阴,润肺、补肾、生津、止血、养血、润燥、解毒
58,通便,润肠、清热、杀虫、消肿、利水、利尿、止痛
59,截疟,清热、活血、杀虫、止痛、祛风、消肿、除湿
60,止渴,清热、除烦、解毒、滋阴、润燥、止血、润肺
61,清肝,解毒、清热、凉血、消肿、止血、泻火、利胆
62,泻火,清热、燥湿、凉血、消肿、止血、清肝、止痛
63,祛湿,止痛、解毒、活血、止血、止痒、消肿、散寒
64,益肾,健脾、解毒、活血、补肺、祛风、滋阴、补肝
65,利咽,清热、消肿、止血、清肺、止咳、凉血、生津
66,养血,滋阴、调经、解毒、益气、润燥、祛风、补肾
67,镇痛,解毒、止血、清热、活血、消肿、除湿、止咳
68,补血,止血、调经、补气、益气、解毒、止痛、祛风
69,化湿,清热、行气、理气、消肿、活血、和中、祛风
70,驱虫,清热、止血、祛风、止咳、消肿、活血、消积
71,软坚,化痰、清热、解毒、利水、消肿、止痛、活血
