Label,名称,Taste,Type
0.0,鸢油,咸、甘,肺
0.0,过山青,寒、甘,小肠、膀胱
0.0,甘草节,凉、温、甘,心、肝
0.0,甘草梢,寒、甘,心、脾、肝
0.0,甘草头,寒、甘,心、肝
0.0,冰草根,寒、甘,肺、肾、肝
0.0,包谷火焰包,温、甘,胃、脾
0.0,青环海蛇,寒、咸、辛,肾、肝
0.0,甘松,温、甘、辛,胃、脾
0.0,婆婆纳,凉、甘、淡,肾、肝
0.0,笔仔草,寒、凉、平、甘、淡、毒,膀胱、脾、肾
0.0,豹纹东方鲀血,凉、苦、咸,心、脾、肝
0.0,千里找根,凉、苦,大肠、肝
0.0,盘肠草,温、甘、淡,胃、肝
0.0,宝兴耳蕨,寒、苦,胃
0.0,蒲桃种子,凉、甘、酸,胃、脾
0.0,蒲桃壳,温、甘、酸,肺、脾
0.0,干贝,温、咸、甘,missing
0.0,蓬蘽,温、甘、酸,肾、肝
0.0,硼砂,凉、咸、甘、毒,肺、胃
0.0,白金古榄,寒、苦,心、脾
0.0,白鹤藤,凉、苦、辛,肺、肝
0.0,七鳃鳗,温、甘,肾、肝
0.0,盘羊睾丸,温、咸、甘,肾
0.0,白叶刺根,平、涩、酸,肺、肾
0.0,青叶错,温、辛,肝
0.0,爬藤榕,温、甘、辛,missing
0.0,柠条,温、甘,肾、肝
0.0,柠檬叶,温、苦、甘、辛,肺、大肠、胃
0.0,果上叶,凉、甘、淡,肺、肾、肝
0.0,柠檬,凉、甘、酸,肺、胃
0.0,川贝母—暗紫贝,寒、苦、甘,missing
0.0,草向荆,平、苦、淡,大肠、小肠
0.0,草苞蛇眼草,凉、苦,心
0.0,长毛对虾,温、咸、甘,脾、肾
0.0,刺盖草,平、苦,肺、脾、肝
0.0,匍匐南芥,寒、苦,肺、大肠、膀胱
0.0,白荷花露,平、甘,肺、心
0.0,臭黄荆子,平、苦、辛,肺
0.0,川滇香薷,平、辛,肝
0.0,残槁蔃,寒、凉、苦、涩、甘,心
0.0,破牛膝,苦、辛、毒,肺
0.0,青蚨,温、辛、毒,脾、肾
0.0,船形乌头,寒、苦、毒,肺、大肠、脾、肾、肝
0.0,糯米,温、甘,肺、胃、脾
0.0,刺梨花,平、甘,大肠、小肠
0.0,泡囊草根,温、苦、甘、毒,missing
0.0,光叶密花豆,温、苦、甘,肝
0.0,狍茸,温、咸、甘,肾
0.0,南瓜瓤,凉、甘,脾
0.0,白毛草,温、苦,肝
0.0,豹纹东方鲀肉,温、咸、甘,肾、肝
0.0,千解草,温、苦、甘,missing
0.0,荠菜,凉、甘、淡,肺、心、肝
0.0,华南鳞盖蕨,凉、苦、涩、毒,大肠
0.0,日本樱花,平、辛,肺
0.0,浮尸草,温、甘,肾
0.0,浮小麦,凉、甘,心
0.0,山羊豆,寒、涩、甘,脾、肾
0.0,石韦毛,寒、苦,肺、大肠
0.0,铅,寒、甘、毒,肾、肝
0.0,鲩鱼,平、苦、涩、酸,肺、大肠、胃
0.0,水牛皮,平、咸,肺、膀胱
0.0,荠菜花,凉、甘,大肠
0.0,枫荷梨,温、甘、辛,missing
0.0,雀,温、甘,肺、膀胱、肾
0.0,假大薯,平、甘、酸、毒,肺、肝
0.0,蜻蜓,温、咸,肾
0.0,蔷薇枝,凉、甘,肾
0.0,蔷薇叶,凉、甘,脾
0.0,金雀根,平、甘、酸,肺、脾、肾
0.0,口蘑,平、苦、甘,肺、肾
0.0,山蒜,温、辛、毒,胃、肝
0.0,人面子,凉、甘、酸,胃、脾、肝
0.0,蜡瓣花根,平、苦、辛,肺、胃、肾
0.0,雀卵,温、甘、酸,肾
0.0,华东膜蕨,凉、甘,大肠
0.0,蘘草,寒、平、苦、甘、毒,肝
0.0,花木通,平、甘、酸,大肠
0.0,黔桂醉魂藤,平、辛,脾
0.0,茜草茎,寒、凉、苦、毒,肝
0.0,屈头鸡根,温、苦、甘,missing
0.0,屈头鸡,温、苦、甘、毒,missing
0.0,蝮蛇,温、甘、毒,脾、肝
0.0,蝮蛇骨,温、甘、毒,大肠
0.0,蝮蛇脂,温、甘、毒,肾、肝
0.0,球序鹅掌楸,温、辛,肾、肝
0.0,薄叶明地蕨,温、甘、辛,肺、心、肝
0.0,青蛙,凉、甘,肺、膀胱、脾
0.0,矮冷水花,温、辛,肺
0.0,青鳞鱼,温、甘、淡,心
0.0,青粱米,寒、甘,胃、脾
0.0,澳洲金合欢,温、辛,心、肝
0.0,矮锦鸡儿,凉、苦,肺
0.0,青海防风,温、甘、辛,missing
0.0,日本扁鲨肝油,平、甘,肾、肝
0.0,茄子,凉、甘,大肠、胃、脾
0.0,矮茎朱砂根,寒、平、苦、涩、甘、辛,肺、肾、肝
0.0,暗绿紫堇,寒、苦,肺、心、膀胱、胆
0.0,日本镜蛤壳,寒、苦、咸,肺、胃
0.0,阿里红,温、苦、甘、毒,肺、胃、脾、肾、肝
0.0,荞麦,寒、甘、酸,大肠、胃、脾
0.0,柠条花,温、甘,肝
0.0,长萼石竹,寒、苦,膀胱、肾、肝
0.0,盘花垂头菊,凉、苦,肺、胃、肝
0.0,长叶紫珠,温、苦、辛、毒,肺、肝
0.0,玫瑰石斛,寒、咸、甘、淡,胃、肾、肝
0.0,樗叶,温、苦、毒,肺
0.0,车螯,寒、平、咸、甘、毒,肺、脾
0.0,葛粉,寒、甘,胃
0.0,葛花,凉、甘,胃
0.0,蒙古蒿,温、苦、辛,肺、心、肝
0.0,川山柳藤,寒、苦,肝
0.0,葛仙米,寒、凉、甘、淡,肝
0.0,葛叶,凉、涩、甘,肝
0.0,隔山消,温、苦、甘,胃、脾、肾
0.0,麻疯树,寒、涩、毒,心、肝
0.0,锅铲叶,温、苦、甘,missing
0.0,长茎冷水花,寒、苦,心
0.0,菰米,寒、甘,大肠、胃
0.0,磨盘草,凉、甘、淡,肺、肾
0.0,麋肉,温、甘,脾、肾
0.0,拟变缘小檗,寒、苦,心、大肠、胃、肝
0.0,麋茸,温、甘,肾
0.0,麋角,温、甘,肾
0.0,麋骨,温、咸、甘,肺、肾
0.0,高粱,温、涩、甘,肺、胃、脾
0.0,高山大戟,寒、甘,脾、肝
0.0,墨旱莲,凉、甘、酸,肾、肝
0.0,橄榄核,温、涩、甘,大肠、胃、肝
0.0,棉花,温、甘,心、肝
0.0,棉花根,温、甘,肺、脾、肝
0.0,红走马胎,温、甘、辛,missing
0.0,杧果,寒、甘、酸,胃、膀胱、脾、肾
0.0,长梗韭,温、辛,肝
0.0,美丽胡枝子,平、苦,心、肾
0.0,刺桐花,凉、苦,肝
0.0,猕猴桃,寒、甘、酸,胃、胆、脾、肾
0.0,棉子油,热、辛、毒,心、胃
0.0,刺竹笋,平、苦、甘、毒,心、脾
0.0,梅花参,温、咸,肺、肾
0.0,禾虫,温、甘,胃、脾
0.0,葱叶,温、辛,肺、胃
0.0,禾叶墨斛,寒、甘,胃、脾
0.0,猫肉,温、甘、酸,脾、肝
0.0,草地乌头,温、苦、辛,肺、脾、肝
0.0,猫胞衣,温、甘,胃、脾
0.0,木椒根,温、热、辛、毒,胃、脾
0.0,火腿,温、咸、甘,胃、脾
0.0,麻母,温、甘、辛,missing
0.0,苍山乌头,热、辛、毒,心、脾、肝
0.0,火秧竻蕊,寒、甘,肝
0.0,长花百蕊草,凉、辛,肺、心
0.0,长柱沙参,寒、甘,肺、胃
0.0,明矾,寒、酸,肺、大肠、胃、脾、肝
0.0,长突仙人掌,凉、苦,肺、肝
0.0,肉连环,温、甘、辛,missing
0.0,牛眼马钱,寒、苦、毒,心、肝
0.0,牛脂,温、甘,肺、胃、肾
0.0,赤麻鸭肉,温、咸、甘,脾
0.0,牛骨,温、甘,心、大肠、肾
0.0,贵州远志,温、苦、甘,missing
0.0,牛肝菌,温、甘,missing
0.0,狗肝,温、苦、咸、甘,胃、脾
0.0,狗狗秧,寒、甘,大肠、小肠、胃、脾
0.0,狗骨,温、咸、甘,脾、肾、肝
0.0,糙叶水苎麻,寒、苦、辛,肺、肝
0.0,牛肚,温、甘,胃、脾
0.0,狗脊,温、苦、甘,心、膀胱、肾、肝
0.0,匙叶翼首花,寒、苦、毒,肺、肝
0.0,狗筋蔓,温、苦、甘,膀胱、肝
0.0,狗肉,温、咸、酸,胃、脾、肾
0.0,牛白藤根,凉、甘、淡,肺、大肠
0.0,狗肾,温、咸、甘,肾
0.0,牛白藤,凉、甘、淡,肺、肾、肝
0.0,长果婆婆纳,寒、苦、涩,肺、肝
0.0,奶浆果,温、甘、酸,missing
0.0,奶浆参,温、苦、甘,missing
0.0,狗尾草,凉、甘、淡,心、肝
0.0,狗心,温、咸、甘,肺、心、肝
0.0,赤瓟,平、苦、甘、酸,肺、胃、肾、肝
0.0,普渡天胡荽,平、苦、毒,脾、肾、肝
0.0,牛筋,凉、甘,肝
0.0,鸟不宿,平、温、辛、毒,肺、胃
0.0,翠雀花,寒、苦、毒,胃
0.0,牛明胶,平、甘,肺、肾、肝
0.0,牛靥,温、甘,肺、肝
0.0,牛羊草结,温、淡,心、胃
0.0,桂丁,温、甘、辛,肺、胃、脾
0.0,牛肾精子,寒、咸、甘,膀胱
0.0,桂花枝,温、甘、辛,missing
0.0,粘毛山芝麻,凉、苦、辛,大肠、胃、脾
0.0,柠鸡儿果,寒、苦,肺
0.0,桂枝,温、甘、辛,肺、心、膀胱
0.0,桂子,温、甘、辛,胃
0.0,牛心梨叶,凉、苦、涩,肺、大肠
0.0,牛蹄甲,温、甘,心、肝
0.0,牛蹄,凉、甘,大肠、肾
0.0,牛舌头,寒、苦、涩、毒,胃、肾
0.0,长柄唐松草,凉、苦,肺、肝
0.0,尿泡草,平、苦,脾、肾、肝
0.0,牛髓,温、甘,心、脾、肾
0.0,牛肉,凉、温、甘,胃、脾
0.0,牛脾,温、甘、酸,胃、脾
0.0,春砂花,平、辛、毒,肺、胃
0.0,牛脑,温、甘,胃、脾、肝
0.0,牛奶浆根,温、甘、辛,肺、脾、肾
0.0,牛奶柴,温、甘、淡,肺、脾、肾
0.0,糙点瓜蒌,寒、苦、甘、酸,肺、脾、肝
0.0,大草蔻,温、涩、辛,missing
0.0,水鬼蕉叶,温、辛,肾、肝
0.0,肉苁蓉,温、咸、甘,大肠、肾
0.0,山鸡,温、甘,肾、肝
0.0,天山柴胡,寒、苦,肺、胆、肝
0.0,肉爬皂,寒、辛,肺、肾、肝
0.0,长筒马先蒿,平、咸,心、肝
0.0,冬虫夏草,温、甘、香,肺、肾
0.0,水金凤,温、甘,missing
0.0,冬葵根,寒、甘,膀胱、脾
0.0,醉马草,missing,missing
0.0,榛蘑,温、甘,missing
0.0,水茴香,温、甘、辛,肺、胃、脾
0.0,疏花婆婆纳,凉、苦,心
0.0,桃叶鸦葱,凉、辛,肺、肝
0.0,紫油木,凉、苦、涩,missing
0.0,梓树,寒、平、苦、甘,missing
0.0,水朝阳草,温、甘、辛,missing
0.0,水柏枝,温、甘、辛,missing
0.0,竹叶吉祥草,凉、涩,missing
0.0,竹叶心,凉、苦、甘,missing
0.0,翼核果,温、苦,missing
0.0,蝤蛴,平、辛,missing
0.0,榆树,平、甘、辛,missing
0.0,野葱,温、辛,missing
0.0,掌裂秋海棠,平、酸,missing
0.0,野兔毛,missing,missing
0.0,苏门答腊萝芙木,寒、苦,肝
0.0,玉米,寒、苦,心、大肠、肝
0.0,鸭肪,温、苦、甘,肾
0.0,鸭脚板草,温、甘、辛,肾
0.0,石香薷,温、苦、辛、香、毒,肺、胃、脾、肝
0.0,丝瓜,凉、甘,肺、大肠、胃、肝
0.0,鸭肫衣,平、咸、甘,肾
0.0,丝带蕨,凉、甘,肾、肝
0.0,崖棕根,温、咸,肾
0.0,野丁香,平、涩,肺、胃、膀胱
0.0,野火球,凉、甘、酸,胃、膀胱、脾、肾
0.0,三疣梭子蟹肉,凉、辛,心、肾、肝
0.0,吊吊果,温、甘、酸,missing
0.0,野料豆,温、甘,胃、脾
0.0,野猪头骨,平、苦、辛,胃
0.0,地菍果,温、甘,脾、肾、肝
0.0,地盘松球,温、苦,膀胱
0.0,野竹兰,温、苦、甘、辛,胃
0.0,一枝香,平、甘、辛,胃
0.0,地梢瓜,凉、甘,肺
0.0,水松,寒、咸、甘,大肠、膀胱
0.0,水金凤茎叶,寒、麻、毒,心、肝
