聚类,数字,数量,id
"['肝燥碍肺', '咳而无痰']","[1607, 1859]",1,[9311]
"['手足挛急', '口吐涎沫']","[299, 608]",5,"[6353, 8706, 26984, 55023, 65027]"
"['冲脉少藏', '腹多病']","[1375, 1741]",1,[29243]
"['头目眩晕', '血风劳']","[23, 26]",38,"[53142, 20095, 19714, 54307, 16608, 38484, 52366, 70267, 33884, 38432, 24975, 53138, 20071, 20087, 25817, 53145, 19722, 20117, 32523, 53121, 53173, 6549, 37662, 53140, 20008, 20076, 20082, 44591, 53161, 53182, 3584, 25874, 20118, 53136, 53170, 83250, 53176, 55788]"
"['阳微', '汗多不止']","[1925, 2146]",1,[55952]
"['湿毒阴痒', '阴疼']","[2165, 2382]",1,[31898]
"['凝结不散', '脚丫作痒']","[1445, 1798]",1,[57714]
"['狂言', '妄言']","[246, 399]",7,"[29150, 4279, 34124, 39131, 59706, 23054, 58781]"
"['产后血气壅滞', '急胀']","[939, 1263]",1,[51515]
"['凝结不散', '血聚下焦']","[1445, 2338]",1,[4289]
"['脾气受伤', '脾转运滞']","[1682, 1684]",1,[55954]
"['昏迷不省', '神昏']","[77, 128]",11,"[20023, 20042, 38805, 4183, 31150, 78910, 4145, 56247, 80909, 64695, 80567]"
"['筋脉失养', '瘀血阻滞']","[1311, 2218]",1,[4140]
"['便利常涩', '两脚不仁']","[1573, 1797]",1,[37666]
"['急性湿疹', '过敏性皮炎']","[1019, 1548]",1,[78351]
"['关窍不固', '水不济火']","[1973, 2141]",1,[12762]
"['下利赤白', '种种带下']","[1465, 2235]",1,[70803]
"['凝结不散', '血壅不流']","[1445, 2326]",1,[4289]
"['吐血不止', '咯血']","[70, 332]",13,"[1041, 1261, 31914, 14945, 19498, 19645, 31822, 1347, 31804, 64537, 28018, 45398, 11855]"
"['羞明', '视物不明']","[430, 619]",4,"[33964, 77250, 19802, 18903]"
