主治,功能团
"['疝气', '脾血气痛']",[]
['血刺心痛'],[]
"['产后', '头痛', '伤寒', '眩晕', '头目眩晕', '头目眩晕', '神昏', '风邪', '暴寒乍暖']","[['产后', '头痛'], ['头痛', '头目眩晕'], ['头痛', '伤寒'], ['眩晕', '头目眩晕']]"
"['霍乱', '吐泻', '吐泻', '脉弦虚']","[['霍乱', '吐泻']]"
"['产后', '肚腹痛', '血崩', '乳痈', '咯血']","[['产后', '肚腹痛']]"
"['言语謇涩', '四肢急掣', '昏迷不省', '半身不遂', '左瘫右痪', '手足不遂', '卒暴']","[['半身不遂', '左瘫右痪'], ['言语謇涩', '半身不遂'], ['四肢急掣', '半身不遂'], ['言语謇涩', '四肢急掣'], ['言语謇涩', '四肢急掣', '半身不遂']]"
"['寒热', '中风', '腰痛', '四肢急掣', '腹内痛', '产后滞血', '脐腹冷痛', '左瘫右痪', '诸风瘫痪', '血滞', '闪肭', '产后腹中痛', '骨节痠疼', '脚弱无力', '行步不正']","[['中风', '四肢急掣']]"
"['产后', '虚羸', '气弱', '失色']",[]
"['产后', '赤白带下', '血瘕', '虚寒']",[]
"['心腹多痛', '脏腑虚损']",[]
"['言语謇涩', '言语謇涩', '不睡', '出血', '狂言', '产后颠狂', '心神不安']",[]
"['饮食不下', '肢体怠情', '恶心', '心神惊悸', '久冷', '中焦', '脐下疼痛', '停寒']",[]
['产后崩中下血'],[]
"['心腹疼痛', '脏腑虚损']",[]
['难产'],[]
"['动胎', '血崩', '胎漏', '闪肭']",[]
"['难产', '死胎不出', '横逆']","[['难产', '死胎不出']]"
"['头痛', '痢不止', '疼痛', '疟', '疟', '热毒', '疮疥', '疳', '小儿惊痫', '眼赤', '癫痫', '痈疽发背', '疖', '鬼胎', '肿满', '咽喉闭塞']","[['疮疥', '痈疽发背'], ['痢不止', '疟'], ['疮疥', '疖'], ['热毒', '疮疥'], ['痈疽发背', '疖'], ['疮疥', '痈疽发背', '疖']]"
"['寒疝', '奔豚']",[]
"['饮食不下', '干呕', '痢不止', '烦愦', '气短促', '感冒', '有汗', '气壅', '瘦弱', '气刺', '食伤', '心腹满急', '肠滑', '气疾', '鼻出清水']","[['干呕', '痢不止'], ['饮食不下', '干呕']]"
"['中风', '血风劳', '痰饮', '胸中胀满', '半身不遂', '偏正头风', '小儿惊痫', '咯血', '喘嗽', '闭塞']",[]
"['眩晕', '四肢肿', '产后气短', '痠痛', '肢体麻木', '痰浊内阻']",[]
"['产后百损', '癫痫', '癫痫', '悸动', '惊气入心']",[]
"['赤白带下', '痢不止', '面色黄青', '吐泻', '手足厥寒', '腹内坚痛', '肠滑不禁']","[['吐泻', '手足厥寒'], ['赤白带下', '痢不止']]"
"['血风劳', '元气虚惫', '多倦', '面色黄青', '妇人血气', '小便利数', '多睡', '少力', '咽膈不利', '精神恍惚']","[['多倦', '多睡'], ['多倦', '少力']]"
"['产后', '败血']",[]
['血块'],[]
"['腹刺痛', '攻刺', '气滞不行', '胸胁疼', '心气疼痛']","[['胸胁疼', '心气疼痛']]"
"['产后滞血', '胸膈疼痛']",[]
"['肌体羸瘦', '气血', '精神不守', '脾胃不足']",[]
"['月经不通', '血滞', '少腹急痛']",[]
"['心神多躁', '牙关紧闭', '手足挛急', '经水忽来忽断']","[['牙关紧闭', '手足挛急']]"
['产后儿枕'],[]
['产后四肢浮肿'],[]
['寒热'],[]
['产后不烦而渴'],[]
"['遍身壮热', '有汗', '风感太阳']",[]
"['寒热', '血亏', '虚劳', '虚劳', '堕胎', '胸满', '心闷', '热入血室', '悸动', '脉数而涩', '妊娠吐衄', '经行感冒', '脉沉而浮', '温疟', '经枯发热']",[]
"['产后气虚', '精神昏昧']",[]
"['心神多躁', '牙关紧闭', '手足挛急', '经水忽来忽断']","[['牙关紧闭', '手足挛急']]"
"['月经过多', '妊娠呕恶冲逆', '胎漏']","[['月经过多', '胎漏']]"
['心腹胀'],[]
['赤白带下'],[]
"['心神多躁', '产后滞血', '涎潮']",[]
"['血晕', '血结', '产后腹中痛']",[]
"['产后', '脉数而涩']",[]
"['心神多躁', '牙关紧闭', '手足挛急', '经水忽来忽断']","[['牙关紧闭', '手足挛急']]"
"['无力', '产后气虚', '痿挛']",[]
"['产后', '月经不调', '血崩', '血晕', '胎衣不下', '干血']","[['产后', '血晕'], ['血晕', '胎衣不下']]"
"['月经过多', '脐腹冷痛']",[]
"['月经过多', '伤寒', '风感太阳']",[]
"['产后积聚癥块', '喘不能卧']",[]
"['肚腹痛', '脐腹冷痛', '腰重冷痛']",[]
"['头痛', '骨疼', '脉弦', '憎寒如疟']",[]
"['胎衣不下', '死胎', '胞干', '血冲上昏闷', '暴血下']","[['血冲上昏闷', '暴血下'], ['胎衣不下', '死胎'], ['胞干', '血冲上昏闷']]"
"['产后百损', '痰饮', '寒厥之头痛']",[]
"['胎衣不下', '死胎', '胎干', '血冲上昏闷', '血暴下']","[['血冲上昏闷', '血暴下'], ['胎衣不下', '死胎']]"
"['产后', '虚劳', '产后伤寒并痢']",[]
"['产后', '虚劳', '脉浮']",[]
"['元气虚惫', '经行无定期', '脉弦虚', '皮聚', '毛落']","[['皮聚', '毛落']]"
"['肚腹痛', '月经不通', '经前腹痛', '淋证']",[]
"['头痛', '眩晕', '胎漏', '烦躁', '内热', '两胁胀痛', '作渴']",[]
"['血结', '产后血运']",[]
['经水少而血色和'],[]
['产后恶露不下'],[]
"['血亏', '血热', '月经先期', '痘疹', '经来色紫']","[['血热', '月经先期']]"
"['妊娠', '肚腹痛', '肚腹痛', '口干', '痢不止', '痢不止', '大便后下血', '小便短赤', '湿热', '里急后重', '肛门灼热']","[['妊娠', '肚腹痛'], ['妊娠', '口干'], ['肚腹痛', '痢不止']]"
"['肚腹痛', '寒热', '盗汗', '自汗', '疮疥', '惊悸', '大便后下血', '不睡', '口烂', '口烂', '怔忡不宁', '血虚发热', '发搐', '妊娠吐衄', '胸胁疼', '忧思伤脾', '郁怒']","[['盗汗', '自汗']]"
"['胎毒疮', '风疹']",[]
"['干湿疥癣', '疮癣', '头面生癞', '痒痛不安']","[['头面生癞', '痒痛不安']]"
"['疔毒', '头面生癞', '痒痛不安']","[['头面生癞', '痒痛不安']]"
"['热毒', '疮疥', '作痛', '发为']","[['热毒', '疮疥']]"
"['月经不调', '遍身壮热', '寒热', '热毒', '阴寒', '疮疥', '潮热', '口苦', '耳聋', '发为', '胸胁疼', '晡热']","[['遍身壮热', '阴寒'], ['热毒', '疮疥'], ['月经不调', '寒热']]"
"['疮疥', '疖', '胎毒疮']","[['疮疥', '疖']]"
