症状,亲友团
产后,"['中风', '饮食不下', '肚腹痛', '遍身壮热', '干呕', '头痛', '寒热', '恶露未尽', '痢不止', '血晕', '恶露不下', '咳嗽', '月经不调', '伤寒', '口干']"
妊娠,"['动胎', '饮食不下', '伤寒', '干呕', '肚腹痛', '头痛', '月经过多', '口干', '眩晕', '遍身壮热', '中风', '痢不止', '心神多躁', '大小便不通', '咳嗽']"
饮食不下,"['干呕', '产后', '妊娠', '肌体羸瘦', '寒热', '月经不调', '头目眩晕', '月经不通', '渐渐羸瘦', '肢节无力', '口干', '眩晕', '痢不止', '多倦', '咳嗽']"
干呕,"['饮食不下', '产后', '妊娠', '恶心', '头痛', '眩晕', '痢不止', '妊娠呕恶冲逆', '肚腹痛', '寒热', '伤寒', '头目眩晕', '痰饮', '月经不通', '咳嗽']"
肚腹痛,"['产后', '妊娠', '饮食不下', '月经不调', '干呕', '动胎', '痢不止', '月经过多', '寒热', '遍身壮热', '赤白带下', '恶露未尽', '带下', '伤寒', '眩晕']"
月经不通,"['饮食不下', '产后', '干呕', '寒热', '咳嗽', '遍身壮热', '结生瘕聚', '头痛', '肌体羸瘦', '疼痛', '渐渐羸瘦', '月经不调', '腹中疼痛', '肚腹痛', '不育']"
月经不调,"['饮食不下', '赤白带下', '产后', '不育', '肚腹痛', '带下', '肌体羸瘦', '眩晕', '寒热', '阴中冷', '崩中漏下', '干呕', '遍身壮热', '头目眩晕', '结生瘕聚']"
遍身壮热,"['产后', '头痛', '阴寒', '伤寒', '口干', '饮食不下', '妊娠', '咳嗽', '月经不调', '肚腹痛', '感冒', '月经不通', '干呕', '头目眩晕', '身疼']"
寒热,"['饮食不下', '产后', '干呕', '头痛', '月经不通', '口干', '月经不调', '头目眩晕', '咳嗽', '肌体羸瘦', '疟', '肚腹痛', '身疼', '痢不止', '盗汗']"
头痛,"['产后', '伤寒', '遍身壮热', '妊娠', '干呕', '饮食不下', '寒热', '头目眩晕', '身疼', '壮热', '咳嗽', '阴寒', '口干', '感冒', '中风']"
赤白带下,"['月经不调', '饮食不下', '阴中冷', '不育', '血崩', '产后', '小便浊败', '咳嗽', '痢不止', '干呕', '肚腹痛', '五劳', '结生瘕聚', '肠风', '月经过多']"
动胎,"['妊娠', '肚腹痛', '月经过多', '饮食不下', '干呕', '产后', '伤寒', '眩晕', '不止', '心腹疼痛', '腹刺痛', '月经不调', '寒热', '疼痛', '血崩']"
咳嗽,"['产后', '饮食不下', '喘促', '干呕', '头痛', '口干', '遍身壮热', '寒热', '妊娠', '伤寒', '赤白带下', '痰饮', '月经不通', '寒邪', '盗汗']"
中风,"['产后', '口急', '言语謇涩', '四肢急掣', '妊娠', '言语不得', '身如角弓反张', '头痛', '干呕', '遍身壮热', '伤寒', '头目眩晕', '牙关紧闭', '昏迷不省', '半身不遂']"
口干,"['饮食不下', '产后', '遍身壮热', '妊娠', '口苦', '寒热', '咳嗽', '干呕', '心神多躁', '烦躁', '头目眩晕', '头痛', '伤寒', '面色发红', '肌体羸瘦']"
月经过多,"['妊娠', '动胎', '肚腹痛', '胎漏', '产后', '饮食不下', '赤白带下', '血崩', '干呕', '肠风', '带下', '月经不调', '腹中疼痛', '崩中漏下', '眩晕']"
痢不止,"['产后', '饮食不下', '干呕', '肚腹痛', '妊娠', '疟', '赤白带下', '咳嗽', '寒热', '霍乱', '伤寒', '结生瘕聚', '月经不调', '肠风', '头痛']"
疼痛,"['产后', '饮食不下', '干呕', '月经不通', '妊娠', '月经不调', '寒热', '遍身壮热', '血风劳', '结生瘕聚', '肌体羸瘦', '不止', '涩', '咳嗽', '痢不止']"
伤寒,"['妊娠', '头痛', '产后', '遍身壮热', '干呕', '饮食不下', '咳嗽', '口干', '壮热', '肚腹痛', '寒热', '中风', '痢不止', '身疼', '疟']"
