亲友团,匹配医案个数,覆盖率，准确率
3,129 , 0.4482078079106304 , 0.7906976744186046
4,196 , 0.4421654275219386 , 0.7806122448979592
5,208 , 0.46311285319196444 , 0.8028846153846154
6,232 , 0.46790954899340736 , 0.7974137931034483
7,262 , 0.4690225948246537 , 0.7862595419847328
8,280 , 0.4767937157584994 , 0.7892857142857143
9,295 , 0.49855482422478803 , 0.8033898305084746
10,305 , 0.4957267552272118 , 0.8
11,312 , 0.5021947984781395 , 0.8108974358974359
12,316 , 0.4988035635674951 , 0.8069620253164557
13,334 , 0.5034171575470165 , 0.811377245508982
14,343 , 0.5027057688114963 , 0.7959183673469388
15,355 , 0.5002640101314499 , 0.7971830985915493
20,355 , 0.5002640101314499 , 0.7971830985915493
