亲友团,匹配医案个数,覆盖率，准确率
3,129 , 0.39432146793907874 , 0.7054263565891473
4,196 , 0.3786848397586773 , 0.6836734693877551
5,208 , 0.38481930632461275 , 0.7019230769230769
6,232 , 0.39014367370231057 , 0.6810344827586207
7,262 , 0.3809202590694096 , 0.6679389312977099
8,280 , 0.38253527719720787 , 0.6607142857142857
9,295 , 0.3894351222922091 , 0.6779661016949152
10,305 , 0.39059694687048396 , 0.6819672131147541
11,312 , 0.39557648824773445 , 0.6891025641025641
12,316 , 0.3924629019990691 , 0.6867088607594937
13,334 , 0.39592895988471705 , 0.6856287425149701
14,343 , 0.4075460517950295 , 0.7084548104956269
15,355 , 0.4096333929147995 , 0.7070422535211267
20,355 , 0.4096333929147995 , 0.7070422535211267
